class1,class2,domain1,domain2,GT,GT_ratio_order,coqex_precision,wikidata_precision,gpt3_few_shot_cardinality_precision,acc_root_majority_wikidata,acc_root_ttest_majority_wikidata,acc_root_ttest_wikidata,acc_root_majority_coqex,acc_root_ttest_coqex,acc_root_ttest_majority_coqex,acc_root_majority_gpt3,acc_root_ttest_gpt3,acc_root_ttest_majority_gpt3,acc_majority_root_majority,acc_majority_root_majority_ttest,acc_majority_root_ttest,acc_supervised_root_maj_ttest,acc_supervised_root_majority,acc_supervised_root_ttest
space station,smartphone,man-made_object,man-made_object,-1,9,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
bacteria,space station,species,man-made_object,1,9,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
religious text,website,creative_work,creative_work,-1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
website,formula one circuit,creative_work,man-made_object,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ancient civilization,smartphone,geographical_entity,man-made_object,-1,7,0,,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1
nuclear power plant,smartphone,geographical_entity,man-made_object,-1,7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
national dance,website,creative_work,creative_work,-1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nuclear power plant,website,geographical_entity,creative_work,-1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
world heritage site,website,geographical_entity,creative_work,-1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
highway,smartphone,geographical_entity,man-made_object,-1,6,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
national park,smartphone,geographical_entity,man-made_object,-1,6,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
world heritage site,smartphone,geographical_entity,man-made_object,-1,6,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
satellite,smartphone,man-made_object,man-made_object,-1,6,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
lawyer,space station,occupation,man-made_object,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
police officer,space station,occupation,man-made_object,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cryptocurrency exchange,website,organization,creative_work,-1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bacteria,island,species,geographical_entity,1,6,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
bacteria,world heritage site,species,geographical_entity,1,6,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1
mobile app,religious text,creative_work,creative_work,1,5,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1
dam,website,geographical_entity,creative_work,-1,5,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
highway,book,geographical_entity,creative_work,-1,5,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
