class1,class2,domain1,domain2,GT,GT_ratio_order,coqex,wikidata,gpt3_few_shot_cardinality,ttest_by_subclass_coqex,ttest_by_subclass_wikidata,ttest_by_subclass_gpt3_few_shot_cardinality,majority_by_subclass_coqex,majority_by_subclass_wikidata,majority_by_subclass_gpt3_few_shot_cardinality,coqex_precision,wikidata_precision,gpt3_few_shot_cardinality_precision,ttest_by_subclass_coqex_precision,ttest_by_subclass_wikidata_precision,ttest_by_subclass_gpt3_few_shot_cardinality_precision,majority_by_subclass_coqex_precision,majority_by_subclass_wikidata_precision,majority_by_subclass_gpt3_few_shot_cardinality_precision
fungus,bird,species,species,1,2,1,1,-1,0.9994902858079817,0,-0.9965189879236827,0.6842105263157895,-1.0,-1.0,1,1,0,1,,0,1,0,0
fungus,snake,species,species,1,2,1,1,0,0.999537318004243,0,0.9999999401042381,0.7894736842105263,-1.0,0.7894736842105263,1,1,,1,,1,1,0,1
fungus,insect,species,species,-1,0,-1,-1,-1,-0.9912521038046233,0,-0.9946551540142352,-0.736842105263158,-1.0,-1.0,1,1,1,1,,1,1,1,1
fungus,fish,species,species,1,1,1,1,-1,0.9971181861871027,0,-0.9864959864983799,0.8421052631578947,-0.9473684210526316,-1.0,1,1,0,1,,0,1,0,0
fungus,mammal,species,species,1,2,1,1,0,0.9993366833358243,0,0,0.7894736842105263,-1.0,-0.736842105263158,1,1,,1,,,1,0,0
fungus,spider,species,species,1,1,1,1,-1,0,-0.9877816052637659,-0.9598793168729758,0.7368421052631579,-1.0,-1.0,1,1,0,,0,0,1,0,0
fungus,bacteria,species,species,-1,3,1,1,-1,0.9995971933583088,0,0,0.7368421052631579,-0.8947368421052632,-1.0,0,0,1,0,,,0,1,1
fungus,plant,species,species,1,0,-1,1,-1,-0.9973527014483345,0,0,-0.8421052631578947,-0.9473684210526316,-1.0,0,1,0,0,,,0,0,0
fungus,butterfly,species,species,1,2,1,1,0,0,0,-0.9586195795717087,0.7894736842105263,-1.0,-1.0,1,1,,,,0,1,0,0
fungus,amphibian,species,species,1,2,1,1,0,0.9993278409584365,0,0,0.7894736842105263,-1.0,-0.5263157894736843,1,1,,1,,,1,0,0
fungus,grass,species,species,1,2,1,1,-1,0.9976541512064693,0,0.9654582889433648,0.5789473684210527,-0.9473684210526316,-0.6842105263157895,1,1,0,1,,1,1,0,0
fungus,tree,species,species,1,1,1,1,-1,0,0,0,-0.5263157894736843,-0.9473684210526316,-0.8421052631578947,1,1,0,,,,0,0,0
fungus,phytoplankton,species,species,1,2,1,1,-1,0.9991767593051336,0,-0.9927817335902572,0.5789473684210527,-0.8947368421052632,-1.0,1,1,0,1,,0,1,0,0
fungus,bee,species,species,1,2,1,1,-1,0.9916843257499875,0,-1.0,0.5263157894736842,-0.8947368421052632,-1.0,1,1,0,1,,0,1,0,0
fungus,politician,species,occupation,-1,0,-1,-1,1,0,-0.9981095160842971,0,0.7894736842105263,-1.0,0.7894736842105263,1,1,0,,1,,0,1,0
fungus,actor,species,occupation,-1,0,1,-1,-1,0,-0.9990837781393946,0,0.631578947368421,-1.0,0.631578947368421,0,1,1,,1,,0,1,0
fungus,physicist,species,occupation,1,0,1,1,-1,0.9988387286801207,-0.9974556609322598,0,0.7894736842105263,-1.0,0.631578947368421,1,1,0,1,0,,1,0,1
fungus,journalist,species,occupation,1,0,1,1,-1,0.9571484811325666,-0.9983535956091103,0,0.5789473684210527,-1.0,0.6842105263157895,1,1,0,1,0,,1,0,1
fungus,astronaut,species,occupation,1,3,1,1,1,0.99960481655976,0,0.9999999999972097,0.7894736842105263,-0.9473684210526316,0.9473684210526315,1,1,1,1,,1,1,0,1
fungus,researcher,species,occupation,-1,0,-1,-1,-1,-0.985474291087292,0,-0.9753073619054166,-0.5263157894736843,-0.9473684210526316,0.5789473684210527,1,1,1,1,,1,1,1,0
fungus,fashion designer,species,occupation,1,1,1,1,0,0.9989546112137607,-0.9968849092401832,0,0.8947368421052632,-1.0,-0.736842105263158,1,1,,1,0,,1,0,0
fungus,lawyer,species,occupation,-1,0,-1,1,-1,-0.9995133679107645,-0.9702020381204389,-0.9943208528939361,-0.8947368421052632,-1.0,-0.6842105263157895,1,0,1,1,1,1,1,1,1
fungus,school teacher,species,occupation,-1,1,-1,1,-1,-0.992252904403324,-0.958448683125764,-1.0,-0.5789473684210527,-0.9473684210526316,-1.0,1,0,1,1,1,1,1,1,1
fungus,architect,species,occupation,1,0,-1,1,-1,0,-0.9963030482260863,0,0.631578947368421,-1.0,-0.5789473684210527,0,1,0,,0,,1,0,0
fungus,police officer,species,occupation,-1,0,1,1,-1,-0.9997037074992648,-0.9974986469087662,0,-0.7894736842105263,-1.0,-1.0,0,0,1,1,1,,1,1,1
fungus,NBA player,species,occupation,1,2,1,1,-1,0.9996142455952596,0,0.9999999999856043,0.8421052631578947,-0.9473684210526316,0.9473684210526315,1,1,0,1,,1,1,0,1
fungus,airline pilot,species,occupation,1,0,-1,1,-1,-0.9998772549704955,-0.9937485010918671,0,-0.8421052631578947,-1.0,0.5789473684210527,0,1,0,0,0,,0,0,1
fungus,nurse,species,occupation,-1,0,-1,1,-1,-0.9973856240780784,-0.9907617483526617,-0.9999873245029343,-0.736842105263158,-1.0,-1.0,1,0,1,1,1,1,1,1,1
fungus,dentist,species,occupation,1,0,-1,1,-1,0,-0.9946151447914158,-0.9994377030438781,-0.6842105263157895,-1.0,-0.7894736842105263,0,1,0,,0,0,0,0,0
fungus,river,species,geographical_entity,1,0,-1,-1,-1,0,-0.9946385723513396,0,0.7368421052631579,-1.0,-0.5789473684210527,0,0,0,,0,,1,0,0
fungus,island,species,geographical_entity,1,2,1,1,-1,0.9993520057246702,-0.9938230393732418,0,0.7368421052631579,-1.0,-0.5263157894736843,1,1,0,1,0,,1,0,0
fungus,volcano,species,geographical_entity,1,2,1,1,1,0.9996255564703799,-0.9900308674798555,0.999999999998635,0.9473684210526315,-0.9473684210526316,0.8947368421052632,1,1,1,1,0,1,1,0,1
fungus,lake,species,geographical_entity,-1,0,1,1,-1,0.9631956134043127,0,-0.9786978006250232,0.8421052631578947,-1.0,-0.8421052631578947,0,0,1,0,,1,0,1,1
fungus,desert,species,geographical_entity,1,4,1,1,1,0.9996286349885406,-0.9762753920499001,0.9999999999966438,0.9473684210526315,-0.9473684210526316,0.9473684210526315,1,1,1,1,0,1,1,0,1
fungus,castle,species,geographical_entity,1,0,1,1,1,0.999373135816594,-0.9791481037548458,0.9993651035135089,0.8421052631578947,-0.9473684210526316,0.7894736842105263,1,1,1,1,0,1,1,0,1
fungus,dam,species,geographical_entity,1,2,1,1,0,0.9570219772295785,0,0,0.6842105263157895,-1.0,-0.5789473684210527,1,1,,1,,,1,0,0
fungus,airport,species,geographical_entity,1,1,1,1,-1,0.9995456676961106,0,0.9983872912988145,0.8421052631578947,-1.0,0.8421052631578947,1,1,0,1,,1,1,0,1
fungus,city,species,geographical_entity,1,1,1,1,-1,0.9995148826275502,-0.9997248817506089,0,0.7894736842105263,-0.9473684210526316,0.7368421052631579,1,1,0,1,0,,1,0,1
fungus,highway,species,geographical_entity,1,3,1,1,-1,0.9977002126829408,-0.959898595743503,-0.9968733474531623,0.8421052631578947,-0.9473684210526316,-1.0,1,1,0,1,0,0,1,0,0
fungus,world heritage site,species,geographical_entity,1,3,1,1,-1,0.9996238670216195,0,0.9999999999958223,0.9473684210526315,-0.8947368421052632,0.9473684210526315,1,1,0,1,,1,1,0,1
fungus,nuclear power plant,species,geographical_entity,1,3,1,1,1,0.9996194306447801,-0.9948599336349502,0.99999999999653,0.8947368421052632,-0.9473684210526316,0.9473684210526315,1,1,1,1,0,1,1,0,1
fungus,national park,species,geographical_entity,1,2,1,1,1,0.9996213980210433,0,0.9999999999955677,0.8947368421052632,-1.0,0.9473684210526315,1,1,1,1,,1,1,0,1
fungus,ancient civilization,species,geographical_entity,1,4,1,1,-1,0.9996221341321718,0,0.9924477165158017,0.9473684210526315,-0.8947368421052632,0.8421052631578947,1,1,0,1,,1,1,0,1
fungus,zoo,species,geographical_entity,1,2,1,1,-1,0.9995925712522831,-0.997164001064218,0.9999999999987597,0.8947368421052632,-1.0,0.8947368421052632,1,1,0,1,0,1,1,0,1
fungus,university,species,organization,1,1,1,1,-1,0.9995956622094908,-0.9982362416202204,0.9984110704018274,0.8947368421052632,-1.0,0.8421052631578947,1,1,0,1,0,1,1,0,1
fungus,hospital,species,organization,1,1,1,1,-1,0.9984396532096365,-0.9998159205876799,0,0.631578947368421,-1.0,-0.8421052631578947,1,1,0,1,0,,1,0,0
