,class1,class2,domain1,domain2,GT,interdomain,weight,wikidata,coqex,gpt,prob_lesser,prob_greater,pred,acc
6182,island,dam,geographical_entity,geographical_entity,-1,False,0.631578947368421,0.631578947368421,-0.631578947368421,-0.631578947368421,0.6912514087827015,0.3087485912172984,-1,1
2801,book,satellite,creative_work,man-made_object,1,True,1.0,1.0,-0.8421052631578947,0.9473684210526316,0.15091942978656503,0.849080570213435,1,1
1136,ancient civilization,fast food restaurant,geographical_entity,organization,-1,True,-0.8421052631578947,-0.8421052631578947,-0.736842105263158,-0.8421052631578947,0.8932459520512824,0.10675404794871757,-1,1
8264,phytoplankton,football club,species,organization,1,True,-1.0,-1.0,0.9473684210526316,1.0,0.1491802580919378,0.8508197419080622,1,1
1790,astronaut,travel agency,occupation,organization,-1,True,0.8947368421052632,0.8947368421052632,-0.6842105263157895,-0.9473684210526316,0.7621317468763252,0.23786825312367477,-1,1
10490,spacecraft,helicopter,man-made_object,man-made_object,-1,False,-0.736842105263158,-0.736842105263158,-0.8947368421052632,-0.9473684210526316,0.9109879781088392,0.0890120218911607,-1,1
7769,observatory,merchant ship,man-made_object,man-made_object,-1,False,0.9473684210526316,0.9473684210526316,-0.5263157894736843,-0.8947368421052632,0.7202054872135066,0.27979451278649337,-1,1
917,amphibian,coal power plant,species,organization,1,True,-0.736842105263158,-0.736842105263158,0.6842105263157895,0.9473684210526316,0.16107956032261372,0.8389204396773863,1,1
5072,formula one circuit,percussion instrument,man-made_object,man-made_object,-1,False,1.0,1.0,-0.5789473684210527,-1.0,0.7521604745358813,0.24783952546411872,-1,1
10187,snake,dam,species,geographical_entity,-1,True,-1.0,-1.0,-0.7894736842105263,-1.0,0.9243019870422201,0.07569801295777985,-1,1
10793,submarine,wind turbine,man-made_object,man-made_object,-1,False,0.8421052631578947,0.8421052631578947,-0.8947368421052632,-1.0,0.8050521971063369,0.19494780289366306,-1,1
1931,bacteria,lawyer,species,occupation,1,True,-1.0,-1.0,-1.0,-0.5789473684210527,0.8797944888217963,0.12020551117820363,-1,0
5792,hospital,formula one circuit,organization,man-made_object,1,True,1.0,1.0,0.9473684210526316,0.9473684210526316,0.051546084147055526,0.9484539158529445,1,1
7451,nuclear power plant,book,geographical_entity,creative_work,-1,True,-1.0,-1.0,0.5263157894736842,-0.9473684210526316,0.8248559528982512,0.1751440471017488,-1,1
8747,police officer,board game,occupation,creative_work,1,True,1.0,1.0,1.0,0.9473684210526316,0.049868616451815506,0.9501313835481845,1,1
1112,ancient civilization,bank,geographical_entity,organization,-1,True,-1.0,-1.0,-0.9473684210526316,-0.7894736842105263,0.9073111822707932,0.09268881772920681,-1,1
8696,play,skyscraper,creative_work,man-made_object,1,True,-0.8421052631578947,-0.8421052631578947,-0.736842105263158,0.6842105263157895,0.4412003823606224,0.5587996176393776,1,1
11045,tree,actor,species,occupation,-1,True,-1.0,-1.0,0.7368421052631579,0.7368421052631579,0.23243105754043114,0.7675689424595689,1,0
10076,scientific paper,skyscraper,creative_work,man-made_object,1,True,-1.0,-1.0,0.5263157894736842,0.5263157894736842,0.3252769640106038,0.6747230359893962,1,1
2687,board game,merchant ship,creative_work,man-made_object,1,True,-0.631578947368421,-0.631578947368421,-0.736842105263158,-0.8421052631578947,0.8800041933074823,0.1199958066925178,-1,0
9128,politician,world heritage site,occupation,geographical_entity,1,True,1.0,1.0,-0.5263157894736842,-0.5789473684210527,0.6044662150273956,0.3955337849726044,-1,0
1280,animation feature film,submarine,creative_work,man-made_object,1,True,0.9473684210526316,0.9473684210526316,-0.5789473684210527,0.6842105263157895,0.1882082887501414,0.8117917112498586,1,1
3815,dam,board game,geographical_entity,creative_work,-1,True,1.0,1.0,0.9473684210526316,0.631578947368421,0.08136441162513386,0.9186355883748661,1,0
1619,astronaut,animation feature film,occupation,creative_work,-1,True,-0.9473684210526316,-0.9473684210526316,0.9473684210526316,-0.9473684210526316,0.775184735266754,0.22481526473324598,-1,1
6227,island,nuclear power plant,geographical_entity,geographical_entity,1,False,1.0,1.0,0.631578947368421,1.0,0.05815936248840958,0.9418406375115904,1,1
2366,bee,space station,species,man-made_object,1,True,-1.0,-1.0,1.0,1.0,0.144810589580176,0.855189410419824,1,1
779,airport,national dance,geographical_entity,creative_work,1,True,1.0,1.0,1.0,-0.631578947368421,0.3763238161648562,0.6236761838351438,1,1
1598,architect,world heritage site,occupation,geographical_entity,1,True,1.0,1.0,0.736842105263158,0.6842105263157895,0.08580656402065312,0.9141934359793469,1,1
3371,city,travel agency,geographical_entity,organization,-1,True,0.9473684210526316,0.9473684210526316,-0.736842105263158,-0.736842105263158,0.6986092914838662,0.30139070851613387,-1,1
7103,mammal,spacecraft,species,man-made_object,-1,True,0.5263157894736842,0.5263157894736842,0.8421052631578947,0.8947368421052632,0.07838044749700523,0.9216195525029948,1,0
4190,desert,formula one circuit,geographical_entity,man-made_object,1,True,-0.8421052631578947,-0.8421052631578947,-0.6842105263157895,-1.0,0.9116287111077368,0.08837128889226326,-1,0
9425,researcher,airport,occupation,geographical_entity,1,True,-1.0,-1.0,0.5263157894736843,-0.5789473684210527,0.727067277388084,0.2729327226119161,-1,0
9008,politician,island,occupation,geographical_entity,1,True,0.8947368421052632,0.8947368421052632,-0.7368421052631579,-0.7894736842105263,0.7221298811053741,0.2778701188946259,-1,0
9824,satellite,skyscraper,man-made_object,man-made_object,-1,False,-0.8421052631578947,-0.8421052631578947,0.9473684210526316,0.5263157894736842,0.24836802522231927,0.7516319747776807,1,0
7535,nuclear power plant,smartphone,geographical_entity,man-made_object,-1,True,0.8947368421052632,0.8947368421052632,-0.5789473684210527,-1.0,0.7642459382815214,0.23575406171847862,-1,1
5879,insect,NBA player,species,occupation,1,True,-0.8947368421052632,-0.8947368421052632,0.8421052631578947,1.0,0.14965947958549608,0.8503405204145039,1,1
6329,journalist,animation studio,occupation,organization,1,True,1.0,1.0,0.7368421052631579,0.6842105263157895,0.08580656402065312,0.9141934359793469,1,1
10928,technological invention,satellite,creative_work,man-made_object,-1,True,-1.0,-1.0,-1.0,-0.631578947368421,0.8881405044533427,0.11185949554665732,-1,1
9035,politician,nurse,occupation,occupation,-1,False,1.0,1.0,-0.7894736842105263,-1.0,0.777226109804749,0.22277389019525098,-1,1
11339,university,oil tanker,organization,man-made_object,1,True,1.0,1.0,0.5789473684210527,-0.736842105263158,0.4841133547097335,0.5158866452902665,1,1
3410,coal power plant,cryptocurrency exchange,organization,organization,1,False,0.9473684210526316,0.9473684210526316,0.7894736842105263,0.7368421052631579,0.07949466437522146,0.9205053356247785,1,1
11636,volcano,university,geographical_entity,organization,-1,True,-1.0,-1.0,-0.7894736842105263,-0.8421052631578947,0.9053455861727358,0.09465441382726428,-1,1
3473,coal power plant,song,organization,creative_work,-1,True,-0.5789473684210527,-0.5789473684210527,0.8947368421052632,-1.0,0.7546025016705296,0.24539749832947047,-1,1
5171,fungus,fish,species,species,1,False,-0.9473684210526316,-0.9473684210526316,0.8421052631578947,-1.0,0.8004207512872988,0.1995792487127012,-1,0
1601,architect,zoo,occupation,geographical_entity,1,True,1.0,1.0,0.6842105263157895,0.631578947368421,0.09537583422004692,0.9046241657799531,1,1
8258,phytoplankton,fast food restaurant,species,organization,-1,True,-1.0,-1.0,-0.5789473684210527,-0.736842105263158,0.8760860186524647,0.12391398134753533,-1,1
8459,plant,butterfly,species,species,1,False,-0.8421052631578947,-0.8421052631578947,0.9473684210526316,-0.631578947368421,0.6645159959959279,0.3354840040040721,-1,0
