,class1,class2,domain1,domain2,GT,interdomain,weight,wikidata,coqex,gpt,prob_lesser,prob_greater,pred,acc
6182,island,dam,geographical_entity,geographical_entity,-1,False,1.0,1.0,-1.0,1.0,0.3741412144346301,0.6258587855653699,1,0
2801,book,satellite,creative_work,man-made_object,1,True,1.0,1.0,-1.0,1.0,0.3741412144346301,0.6258587855653699,1,1
1136,ancient civilization,fast food restaurant,geographical_entity,organization,-1,True,0.0,0.0,-1.0,-1.0,0.6234576753337372,0.3765423246662628,-1,1
8264,phytoplankton,football club,species,organization,1,True,-1.0,-1.0,1.0,1.0,0.3793288567889701,0.6206711432110299,1,1
1790,astronaut,travel agency,occupation,organization,-1,True,1.0,1.0,-1.0,-1.0,0.5708457552035261,0.4291542447964739,-1,1
10490,spacecraft,helicopter,man-made_object,man-made_object,-1,False,1.0,1.0,-1.0,-1.0,0.5708457552035261,0.4291542447964739,-1,1
7769,observatory,merchant ship,man-made_object,man-made_object,-1,False,-1.0,-1.0,-1.0,-1.0,0.6733108942104322,0.3266891057895678,-1,1
917,amphibian,coal power plant,species,organization,1,True,1.0,1.0,1.0,1.0,0.2828651901918614,0.7171348098081386,1,1
5072,formula one circuit,percussion instrument,man-made_object,man-made_object,-1,False,-1.0,-1.0,1.0,-1.0,0.5762495871181209,0.4237504128818791,-1,1
10187,snake,dam,species,geographical_entity,-1,True,-1.0,-1.0,-1.0,0.0,0.5801285571215558,0.41987144287844425,-1,1
10793,submarine,wind turbine,man-made_object,man-made_object,-1,False,1.0,1.0,-1.0,-1.0,0.5708457552035261,0.4291542447964739,-1,1
1931,bacteria,lawyer,species,occupation,1,True,-1.0,-1.0,-1.0,-1.0,0.6733108942104322,0.3266891057895678,-1,0
5792,hospital,formula one circuit,organization,man-made_object,1,True,1.0,1.0,-1.0,1.0,0.3741412144346301,0.6258587855653699,1,1
7451,nuclear power plant,book,geographical_entity,creative_work,-1,True,-1.0,-1.0,1.0,-1.0,0.5762495871181209,0.4237504128818791,-1,1
