,class1,class2,domain1,domain2,GT,interdomain,weight,wikidata,coqex,gpt,prob_lesser,prob_greater,pred,acc
6182,island,dam,geographical_entity,geographical_entity,-1,False,0.543859649122807,0.543859649122807,-0.8738830912513383,0.12280701754385966,0.5038432282760712,0.4961567717239288,-1,1
2801,book,satellite,creative_work,man-made_object,1,True,0.9890789061187643,0.9890789061187643,-0.6140350877192983,0.9791801718753227,0.1940051194694138,0.8059948805305862,1,1
1136,ancient civilization,fast food restaurant,geographical_entity,organization,-1,True,-0.2807017543859649,-0.2807017543859649,-0.9112497190624765,-0.9399101324904658,0.854869444341792,0.14513055565820798,-1,1
8264,phytoplankton,football club,species,organization,1,True,-0.9998572077738176,-0.9998572077738176,0.98245614034178,0.9997292460531743,0.20307543746559997,0.7969245625344,1,1
1790,astronaut,travel agency,occupation,organization,-1,True,0.6315789473684211,0.6315789473684211,-0.8906981599959568,-0.9799424808156659,0.7918768968679635,0.20812310313203647,-1,1
10490,spacecraft,helicopter,man-made_object,man-made_object,-1,False,0.08771929824561402,0.08771929824561402,-0.9616646052603963,-0.9824556263639662,0.8408075155804654,0.1591924844195346,-1,1
7769,observatory,merchant ship,man-made_object,man-made_object,-1,False,0.3133418568002338,0.3133418568002338,-0.8270009618312614,-0.9649115957215971,0.8092582163781157,0.1907417836218843,-1,1
917,amphibian,coal power plant,species,organization,1,True,0.08771929824561402,0.08771929824561402,0.8934641667136086,0.9824561403373676,0.13493201845142277,0.8650679815485772,1,1
5072,formula one circuit,percussion instrument,man-made_object,man-made_object,-1,False,0.32598983511908025,0.32598983511908025,-0.19183321674456588,-0.9996094448506682,0.7507974273706799,0.24920257262932008,-1,1
10187,snake,dam,species,geographical_entity,-1,True,-0.6666666666666666,-0.6666666666666666,-0.9278344148350691,-0.6665472399429868,0.8385519916659951,0.16144800833400486,-1,1
10793,submarine,wind turbine,man-made_object,man-made_object,-1,False,0.6140350877192983,0.6140350877192983,-0.6315789473684211,-0.9895646525048685,0.7690302569531285,0.23096974304687146,-1,1
1931,bacteria,lawyer,species,occupation,1,True,-0.9900840457635366,-0.9900840457635366,-0.999941331304314,-0.5263157894736842,0.8436991341739806,0.15630086582601938,-1,0
5792,hospital,formula one circuit,organization,man-made_object,1,True,0.9999025913758087,0.9999025913758087,0.3053057979897607,0.982456049849076,0.12114890162932657,0.8788510983706734,1,1
7451,nuclear power plant,book,geographical_entity,creative_work,-1,True,-0.9895976310732167,-0.9895976310732167,0.5087719298245613,-0.9791801747832513,0.793133487718103,0.206866512281897,-1,1
8747,police officer,board game,occupation,creative_work,1,True,0.9991256780542223,0.9991256780542223,0.9999784289528595,0.6491228070175439,0.12078086462891346,0.8792191353710865,1,1
1112,ancient civilization,bank,geographical_entity,organization,-1,True,-0.9999048570271968,-0.9999048570271968,-0.9664361501738258,-0.5964912280701754,0.8528931071177639,0.1471068928822361,-1,1
8696,play,skyscraper,creative_work,man-made_object,1,True,0.05263157894736844,0.05263157894736844,-0.5789473684210527,-0.10526315789473684,0.5927735361595914,0.4072264638404086,-1,0
11045,tree,actor,species,occupation,-1,True,-0.9996936465327785,-0.9996936465327785,0.5789473684210527,0.5789473684210527,0.3522277299393972,0.6477722700606028,1,0
10076,scientific paper,skyscraper,creative_work,man-made_object,1,True,-0.3262873575139415,-0.3262873575139415,-0.15789473684210528,0.8418236784230074,0.30079440296614834,0.6992055970338517,1,1
2687,board game,merchant ship,creative_work,man-made_object,1,True,0.12280701754385966,0.12280701754385966,-0.9005049387305945,-0.9426128539690063,0.8264347874681566,0.1735652125318434,-1,0
9128,politician,world heritage site,occupation,geographical_entity,1,True,0.9993700503319203,0.9993700503319203,0.15789473684210528,-0.20757698862467464,0.39420757849240007,0.6057924215075999,1,1
1280,animation feature film,submarine,creative_work,man-made_object,1,True,0.6491228070175439,0.6491228070175439,-0.5263157894736842,0.8907945031345316,0.23306433805285065,0.7669356619471493,1,1
3815,dam,board game,geographical_entity,creative_work,-1,True,0.6666666666666666,0.6666666666666666,0.9810169294228624,0.5289079583753741,0.16068581244796976,0.8393141875520302,1,0
1619,astronaut,animation feature film,occupation,creative_work,-1,True,-0.6491228070175439,-0.6491228070175439,0.9824543529456052,-0.9796601723878636,0.707933562430348,0.29206643756965195,-1,1
6227,island,nuclear power plant,geographical_entity,geographical_entity,1,False,0.997885416487362,0.997885416487362,0.2042353985861033,0.9983901152093869,0.12565568667647564,0.8743443133235244,1,1
2366,bee,space station,species,man-made_object,1,True,0.0,0.0,0.9999999999919446,1.0,0.13039038724552188,0.8696096127544781,1,1
779,airport,national dance,geographical_entity,creative_work,1,True,0.6666666666666666,0.6666666666666666,0.0,0.12280701754385966,0.3614436112433477,0.6385563887566523,1,1
1598,architect,world heritage site,occupation,geographical_entity,1,True,0.9987746897230716,0.9987746897230716,0.5789473684210527,-0.10526315789473684,0.3087286567372721,0.6912713432627279,1,1
3371,city,travel agency,geographical_entity,organization,-1,True,0.9823569763771044,0.9823569763771044,-0.9062355147449296,-0.5789473684210527,0.6615051502922977,0.3384948497077023,-1,1
7103,mammal,spacecraft,species,man-made_object,-1,True,0.5087719298245613,0.5087719298245613,0.9448673798060544,0.29824256768364216,0.2199744329385268,0.7800255670614732,1,0
4190,desert,formula one circuit,geographical_entity,man-made_object,1,True,-0.26795059336704136,-0.26795059336704136,-0.8899896154247089,-0.3333333333158572,0.7326064817945933,0.2673935182054067,-1,0
9425,researcher,airport,occupation,geographical_entity,1,True,0.0,0.0,0.8403731839839046,0.4655305638252889,0.2414095381412985,0.7585904618587015,1,1
9008,politician,island,occupation,geographical_entity,1,True,0.9625404257704574,0.9625404257704574,0.08771929824561404,-0.5964912280701754,0.5273931123513529,0.47260688764864717,-1,0
9824,satellite,skyscraper,man-made_object,man-made_object,-1,False,0.05263157894736844,0.05263157894736844,0.9824548243089449,-0.4858322855875817,0.4783334259251606,0.5216665740748394,1,0
7535,nuclear power plant,smartphone,geographical_entity,man-made_object,-1,True,0.9638419506827676,0.9638419506827676,0.14035087719298245,-0.9998546783133412,0.6396430487675748,0.3603569512324252,-1,1
5879,insect,NBA player,species,occupation,1,True,0.03508771929824561,0.03508771929824561,0.9453863229091235,0.9982464691045062,0.1322685977182977,0.8677314022817023,1,1
6329,journalist,animation studio,occupation,organization,1,True,0.9994321451173267,0.9994321451173267,0.9095556654840097,0.8946949286517479,0.09678982904765998,0.90321017095234,1,1
10928,technological invention,satellite,creative_work,man-made_object,-1,True,-0.9913410045423441,-0.9913410045423441,-0.9999992294220786,-0.21868215104241648,0.7872265797497147,0.21277342025028534,-1,1
9035,politician,nurse,occupation,occupation,-1,False,0.999341732334122,0.999341732334122,-0.9291578764027246,-0.9999957875473245,0.7672346567138586,0.23276534328614137,-1,1
11339,university,oil tanker,organization,man-made_object,1,True,0.9994216392183803,0.9994216392183803,-0.14035087719298245,0.08771929824561402,0.35086781276016954,0.6491321872398305,1,1
3410,coal power plant,cryptocurrency exchange,organization,organization,1,False,0.9795797643092753,0.9795797643092753,-0.07017543859649122,0.5719238382537798,0.22402969907269388,0.7759703009273061,1,1
11636,volcano,university,geographical_entity,organization,-1,True,-0.998447478337393,-0.998447478337393,-0.5964912280701754,-0.933506585872491,0.8755399994714664,0.1244600005285336,-1,1
3473,coal power plant,song,organization,creative_work,-1,True,-0.5263157894736842,-0.5263157894736842,0.6315789473684211,-0.6666666666666666,0.6560192092108658,0.34398079078913424,-1,1
5171,fungus,fish,species,species,1,False,0.01754385964912279,0.01754385964912279,0.9464078164483324,-0.9954986621661267,0.6410482222416998,0.3589517777583003,-1,0
1601,architect,zoo,occupation,geographical_entity,1,True,0.9981177896334321,0.9981177896334321,0.5614035087719298,0.21052631578947367,0.23438391046937823,0.7656160895306218,1,1
8258,phytoplankton,fast food restaurant,species,organization,-1,True,-0.6546354615780965,-0.6546354615780965,-0.8581569367054445,-0.5789473684210527,0.8163742430577885,0.18362575694221153,-1,1
