,class1,class2,domain1,domain2,GT,interdomain,weight,wikidata,coqex,gpt,prob_lesser,prob_greater,pred,acc
6182,island,dam,geographical_entity,geographical_entity,-1,False,0.8157894736842105,0.8157894736842105,-0.8157894736842105,0.1842105263157895,0.37372580620947493,0.6262741937905251,1,0
2801,book,satellite,creative_work,man-made_object,1,True,1.0,1.0,-0.9210526315789473,0.9736842105263158,0.1284049894546827,0.8715950105453173,1,1
1136,ancient civilization,fast food restaurant,geographical_entity,organization,-1,True,-0.42105263157894735,-0.42105263157894735,-0.868421052631579,-0.9210526315789473,0.91733382482927,0.08266617517073001,-1,1
8264,phytoplankton,football club,species,organization,1,True,-1.0,-1.0,0.9736842105263158,1.0,0.16668249273143587,0.8333175072685641,1,1
1790,astronaut,travel agency,occupation,organization,-1,True,0.9473684210526316,0.9473684210526316,-0.8421052631578947,-0.9736842105263158,0.7899274286414695,0.2100725713585305,-1,1
10490,spacecraft,helicopter,man-made_object,man-made_object,-1,False,0.13157894736842102,0.13157894736842102,-0.9473684210526316,-0.9736842105263158,0.8894404926126587,0.11055950738734133,-1,1
7769,observatory,merchant ship,man-made_object,man-made_object,-1,False,-0.02631578947368418,-0.02631578947368418,-0.7631578947368421,-0.9473684210526316,0.8853758989168952,0.11462410108310478,-1,1
917,amphibian,coal power plant,species,organization,1,True,0.13157894736842102,0.13157894736842102,0.8421052631578947,0.9736842105263158,0.08128436375988213,0.9187156362401179,1,1
5072,formula one circuit,percussion instrument,man-made_object,man-made_object,-1,False,0.0,0.0,0.21052631578947367,-1.0,0.8061104247093718,0.19388957529062828,-1,1
10187,snake,dam,species,geographical_entity,-1,True,-1.0,-1.0,-0.8947368421052632,-0.5,0.9010961954315853,0.09890380456841473,-1,1
10793,submarine,wind turbine,man-made_object,man-made_object,-1,False,0.9210526315789473,0.9210526315789473,-0.9473684210526316,-1.0,0.8122402007375649,0.18775979926243516,-1,1
1931,bacteria,lawyer,species,occupation,1,True,-1.0,-1.0,-1.0,-0.7894736842105263,0.9408536829592693,0.059146317040730687,-1,0
5792,hospital,formula one circuit,organization,man-made_object,1,True,1.0,1.0,-0.02631578947368418,0.9736842105263158,0.07278178099926114,0.9272182190007389,1,1
7451,nuclear power plant,book,geographical_entity,creative_work,-1,True,-1.0,-1.0,0.763157894736842,-0.9736842105263158,0.8621937829509926,0.13780621704900745,-1,1
8747,police officer,board game,occupation,creative_work,1,True,1.0,1.0,1.0,0.9736842105263158,0.03672442933064002,0.96327557066936,1,1
1112,ancient civilization,bank,geographical_entity,organization,-1,True,-1.0,-1.0,-0.9736842105263158,-0.8947368421052632,0.9490191844228718,0.050980815577128226,-1,1
8696,play,skyscraper,creative_work,man-made_object,1,True,0.07894736842105265,0.07894736842105265,-0.868421052631579,-0.15789473684210525,0.6708248673128921,0.32917513268710785,-1,0
11045,tree,actor,species,occupation,-1,True,-1.0,-1.0,0.868421052631579,0.868421052631579,0.21155121208980787,0.7884487879101921,1,0
10076,scientific paper,skyscraper,creative_work,man-made_object,1,True,0.0,0.0,-0.2368421052631579,0.763157894736842,0.2308275437981191,0.7691724562018809,1,1
2687,board game,merchant ship,creative_work,man-made_object,1,True,0.1842105263157895,0.1842105263157895,-0.868421052631579,-0.9210526315789473,0.8695897075749193,0.1304102924250808,-1,0
9128,politician,world heritage site,occupation,geographical_entity,1,True,1.0,1.0,0.2368421052631579,-0.7894736842105263,0.5531667433652591,0.44683325663474094,-1,0
1280,animation feature film,submarine,creative_work,man-made_object,1,True,0.9736842105263158,0.9736842105263158,-0.7894736842105263,0.8421052631578947,0.14605007702844652,0.8539499229715535,1,1
3815,dam,board game,geographical_entity,creative_work,-1,True,1.0,1.0,0.9736842105263158,0.3157894736842105,0.10432116525662716,0.8956788347433728,1,0
1619,astronaut,animation feature film,occupation,creative_work,-1,True,-0.9736842105263158,-0.9736842105263158,0.9736842105263158,-0.9736842105263158,0.840687019748433,0.15931298025156707,-1,1
6227,island,nuclear power plant,geographical_entity,geographical_entity,1,False,1.0,1.0,-0.1842105263157895,1.0,0.07744703734745828,0.9225529626525417,1,1
2366,bee,space station,species,man-made_object,1,True,0.0,0.0,1.0,1.0,0.07803608420525332,0.9219639157947467,1,1
779,airport,national dance,geographical_entity,creative_work,1,True,1.0,1.0,0.0,0.1842105263157895,0.2235124222439926,0.7764875777560074,1,1
1598,architect,world heritage site,occupation,geographical_entity,1,True,1.0,1.0,0.868421052631579,-0.15789473684210525,0.2166523914212236,0.7833476085787764,1,1
3371,city,travel agency,geographical_entity,organization,-1,True,0.9736842105263158,0.9736842105263158,-0.868421052631579,-0.868421052631579,0.7586215787892945,0.24137842121070546,-1,1
7103,mammal,spacecraft,species,man-made_object,-1,True,0.763157894736842,0.763157894736842,0.9210526315789473,-0.05263157894736842,0.2143772468836289,0.7856227531163711,1,0
4190,desert,formula one circuit,geographical_entity,man-made_object,1,True,0.07894736842105265,0.07894736842105265,-0.8421052631578947,0.0,0.6058296123841891,0.39417038761581086,-1,0
9425,researcher,airport,occupation,geographical_entity,1,True,0.0,0.0,0.7631578947368421,0.21052631578947367,0.27194984512820497,0.728050154871795,1,1
9008,politician,island,occupation,geographical_entity,1,True,0.9473684210526316,0.9473684210526316,0.13157894736842107,-0.8947368421052632,0.6242333313753607,0.3757666686246393,-1,0
9824,satellite,skyscraper,man-made_object,man-made_object,-1,False,0.07894736842105265,0.07894736842105265,0.9736842105263158,-0.2368421052631579,0.38876677058136466,0.6112332294186353,1,0
7535,nuclear power plant,smartphone,geographical_entity,man-made_object,-1,True,0.9473684210526316,0.9473684210526316,0.21052631578947367,-1.0,0.65197401834504,0.34802598165496007,-1,1
5879,insect,NBA player,species,occupation,1,True,0.05263157894736842,0.05263157894736842,0.9210526315789473,1.0,0.07885025769470255,0.9211497423052974,1,1
6329,journalist,animation studio,occupation,organization,1,True,1.0,1.0,0.868421052631579,0.8421052631578947,0.04951689594411146,0.9504831040558885,1,1
10928,technological invention,satellite,creative_work,man-made_object,-1,True,-1.0,-1.0,-1.0,-0.8157894736842105,0.943251525958956,0.056748474041043974,-1,1
9035,politician,nurse,occupation,occupation,-1,False,1.0,1.0,-0.8947368421052632,-1.0,0.7959488720633634,0.20405112793663666,-1,1
11339,university,oil tanker,organization,man-made_object,1,True,1.0,1.0,-0.21052631578947367,0.13157894736842102,0.2671142043147936,0.7328857956852064,1,1
3410,coal power plant,cryptocurrency exchange,organization,organization,1,False,0.9736842105263158,0.9736842105263158,-0.10526315789473684,0.3684210526315789,0.1889854096624095,0.8110145903375905,1,1
11636,volcano,university,geographical_entity,organization,-1,True,-1.0,-1.0,-0.8947368421052632,-0.9210526315789473,0.9484539992645499,0.05154600073545017,-1,1
3473,coal power plant,song,organization,creative_work,-1,True,-0.7894736842105263,-0.7894736842105263,0.9473684210526316,-1.0,0.8278954821151905,0.17210451788480946,-1,1
5171,fungus,fish,species,species,1,False,0.02631578947368418,0.02631578947368418,0.9210526315789473,-1.0,0.7115288144855,0.2884711855145,-1,0
1601,architect,zoo,occupation,geographical_entity,1,True,1.0,1.0,0.8421052631578947,0.3157894736842105,0.11329460726360752,0.8867053927363925,1,1
8258,phytoplankton,fast food restaurant,species,organization,-1,True,-0.5,-0.5,-0.7894736842105263,-0.868421052631579,0.9113055549301549,0.08869444506984513,-1,1
8459,plant,butterfly,species,species,1,False,0.07894736842105265,0.07894736842105265,0.9736842105263158,0.1842105263157895,0.2395053442054048,0.7604946557945952,1,1
4793,fish,industrial robot,species,man-made_object,-1,True,0.05263157894736842,0.05263157894736842,-0.9210526315789473,-0.8947368421052632,0.8809190709022462,0.1190809290977538,-1,1
7436,nuclear power plant,animation feature film,geographical_entity,creative_work,-1,True,-1.0,-1.0,0.9736842105263158,-0.9210526315789473,0.8316870960704124,0.16831290392958764,-1,1
6434,journalist,oil tanker,occupation,man-made_object,1,True,1.0,1.0,0.8157894736842105,0.1842105263157895,0.13951195219083568,0.8604880478091643,1,1
6425,journalist,nuclear power plant,occupation,geographical_entity,1,True,1.0,1.0,0.8157894736842105,0.9210526315789473,0.04524275507669784,0.9547572449233022,1,1
11657,website,formula one circuit,creative_work,man-made_object,1,True,0.9736842105263158,0.9736842105263158,0.10526315789473684,0.9736842105263158,0.06816877258972731,0.9318312274102727,1,1
2951,butterfly,lawyer,species,occupation,-1,True,-1.0,-1.0,-0.9736842105263158,-0.8157894736842105,0.9422521571452128,0.05774784285478715,-1,1
5888,insect,airline pilot,species,occupation,1,True,0.02631578947368418,0.02631578947368418,0.8157894736842105,0.868421052631579,0.1050619950973809,0.8949380049026191,1,1
4676,film,video game,creative_work,creative_work,-1,False,0.9736842105263158,0.9736842105263158,-0.21052631578947367,0.7894736842105263,0.11051990908510156,0.8894800909148984,1,0
5987,insect,hospital,species,organization,1,True,0.02631578947368418,0.02631578947368418,0.8421052631578947,-0.21052631578947367,0.41106744993815847,0.5889325500618415,1,1
4844,fish,physicist,species,occupation,-1,True,-1.0,-1.0,0.7894736842105263,-0.07894736842105265,0.5796809487719359,0.42031905122806407,-1,1
10217,snake,helicopter,species,man-made_object,-1,True,0.7894736842105263,0.7894736842105263,-0.8421052631578947,-0.9473684210526316,0.8043055195890473,0.1956944804109527,-1,1
9029,politician,national park,occupation,geographical_entity,1,True,1.0,1.0,0.1842105263157895,-0.8157894736842105,0.573082634346411,0.426917365653589,-1,0
4196,desert,highway,geographical_entity,geographical_entity,-1,False,0.15789473684210525,0.15789473684210525,-0.15789473684210525,-1.0,0.8251023535484011,0.17489764645159886,-1,1
4187,desert,football club,geographical_entity,organization,-1,True,-1.0,-1.0,-0.9473684210526316,-1.0,0.956109977163088,0.043890022836912006,-1,1
7472,nuclear power plant,football club,geographical_entity,organization,-1,True,-1.0,-1.0,0.8947368421052632,-1.0,0.8563102210772885,0.14368977892271148,-1,1
4802,fish,lake,species,geographical_entity,-1,True,-1.0,-1.0,0.8421052631578947,-0.868421052631579,0.8323474303741547,0.1676525696258453,-1,1
2387,bee,video game,species,creative_work,-1,True,-1.0,-1.0,1.0,0.7894736842105263,0.21816465662011886,0.7818353433798811,1,0
1250,animation feature film,industrial robot,creative_work,man-made_object,-1,True,1.0,1.0,-0.9736842105263158,-1.0,0.8048231062210527,0.19517689377894729,-1,1
3404,coal power plant,conglomerate,organization,organization,-1,False,0.9473684210526316,0.9473684210526316,1.0,-0.8947368421052632,0.4741444515637916,0.5258555484362084,1,0
4883,fish,scientific paper,species,creative_work,-1,True,-0.9473684210526316,-0.9473684210526316,0.23684210526315785,-0.7631578947368421,0.8591491422628799,0.14085085773712008,-1,1
8537,plant,national dance,species,creative_work,1,True,0.15789473684210525,0.15789473684210525,1.0,1.0,0.06899682862077461,0.9310031713792254,1,1
2525,bird,island,species,geographical_entity,1,True,-1.0,-1.0,0.7894736842105263,0.8421052631578947,0.22862040235473946,0.7713795976452605,1,1
3251,city,bank,geographical_entity,organization,-1,True,0.868421052631579,0.868421052631579,-0.7631578947368421,-0.8157894736842105,0.7449361289690952,0.2550638710309048,-1,1
659,airline pilot,scientific paper,occupation,creative_work,-1,True,0.0,0.0,0.8421052631578947,-0.7894736842105263,0.6522785466859237,0.34772145331407633,-1,1
188,NBA player,zoo,occupation,geographical_entity,-1,True,0.13157894736842107,0.13157894736842107,-0.7894736842105263,-0.34210526315789475,0.7149592650612496,0.2850407349387504,-1,1
