,class1,class2,domain1,domain2,GT,interdomain,weight_majority,prediction_majority,weight,wikidata,coqex,gpt,prob_lesser,prob_greater,pred,acc
6182,island,dam,geographical_entity,geographical_entity,-1,False,0.631578947368421,1.0,0.5,0.5,-0.995035163192797,0.5,0.42700202493317874,0.5729979750668213,1,0
2801,book,satellite,creative_work,man-made_object,1,True,1.0,1.0,0.9836183591781464,0.9836183591781464,-0.5,0.9950860472866683,0.19255565227650884,0.8074443477234912,1,1
1136,ancient civilization,fast food restaurant,geographical_entity,organization,-1,True,-0.8421052631578947,-1.0,0.0,0.0,-0.9984535259621359,-0.9888125671567514,0.849572195906837,0.15042780409316303,-1,1
8264,phytoplankton,football club,species,organization,1,True,-1.0,-1.0,-0.9997858116607263,-0.9997858116607263,0.9999999999863542,0.9995938690797614,0.22113243406214966,0.7788675659378503,1,1
1790,astronaut,travel agency,occupation,organization,-1,True,0.8947368421052632,1.0,0.5,0.5,-0.9939419768360405,-0.9962295106971832,0.8125639902704332,0.18743600972956675,-1,1
10490,spacecraft,helicopter,man-made_object,man-made_object,-1,False,-0.736842105263158,-1.0,0.5,0.5,-0.9951284868379628,-0.9999992290196333,0.8133463017858413,0.18665369821415861,-1,1
7769,observatory,merchant ship,man-made_object,man-made_object,-1,False,0.9473684210526316,1.0,-0.003671425325965094,-0.003671425325965094,-0.9773435480100501,-0.999998972529764,0.8499019216466713,0.15009807835332864,-1,1
917,amphibian,coal power plant,species,organization,1,True,-0.736842105263158,-1.0,0.5,0.5,0.9980909869125184,0.9999999999797355,0.1120553985206525,0.8879446014793475,1,1
5072,formula one circuit,percussion instrument,man-made_object,man-made_object,-1,False,1.0,1.0,-0.011015247321379595,-0.011015247321379595,0.0017238590936775045,-0.9994141672760022,0.7602317144912101,0.2397682855087899,-1,1
10187,snake,dam,species,geographical_entity,-1,True,-1.0,-1.0,-0.5,-0.5,-0.9970147801473404,-0.4998208599144803,0.8061590334835718,0.19384096651642824,-1,1
10793,submarine,wind turbine,man-made_object,man-made_object,-1,False,0.8421052631578947,1.0,0.5,0.5,-0.5,-0.9843469787573028,0.7610707451298797,0.23892925487012023,-1,1
1931,bacteria,lawyer,species,occupation,1,True,-1.0,-1.0,-0.9851260686453049,-0.9851260686453049,-0.9999119969564709,-0.5,0.8441806038758857,0.1558193961241143,-1,0
5792,hospital,formula one circuit,organization,man-made_object,1,True,1.0,1.0,0.9998538870637129,0.9998538870637129,-0.015725513541674785,0.9999998642472983,0.14975685165361763,0.8502431483463824,1,1
7451,nuclear power plant,book,geographical_entity,creative_work,-1,True,-1.0,-1.0,-0.9843964466098252,-0.9843964466098252,0.5,-0.995086051648561,0.7987878795624012,0.20121212043759884,-1,1
8747,police officer,board game,occupation,creative_work,1,True,1.0,1.0,0.9986885170813333,0.9986885170813333,0.9999676434292892,0.5,0.14776810851357292,0.8522318914864271,1,1
1112,ancient civilization,bank,geographical_entity,organization,-1,True,-1.0,-1.0,-0.9998572855407952,-0.9998572855407952,-0.975970014734423,-0.5,0.8433514269848295,0.15664857301517054,-1,1
8696,play,skyscraper,creative_work,man-made_object,1,True,-0.8421052631578947,-1.0,0.5,0.5,-0.5,-0.5,0.6429842009369173,0.35701579906308273,-1,0
11045,tree,actor,species,occupation,-1,True,-1.0,-1.0,-0.9995404697991678,-0.9995404697991678,0.5,0.5,0.4077617974466504,0.5922382025533496,1,0
10076,scientific paper,skyscraper,creative_work,man-made_object,1,True,-1.0,-1.0,0.010568963729087777,0.010568963729087777,-0.5,0.9995776228976692,0.28653253729165495,0.713467462708345,1,1
2687,board game,merchant ship,creative_work,man-made_object,1,True,-0.631578947368421,-1.0,0.5,0.5,-0.9823363554643127,-0.9928666493745621,0.8109025464541191,0.18909745354588092,-1,0
9128,politician,world heritage site,occupation,geographical_entity,1,True,1.0,1.0,0.9990550754978804,0.9990550754978804,0.5,-0.021891798726485612,0.3014938023065111,0.6985061976934889,1,1
1280,animation feature film,submarine,creative_work,man-made_object,1,True,0.9473684210526316,1.0,0.5,0.5,-0.5,0.9940864915439026,0.23673956474780034,0.7632604352521997,1,1
3815,dam,board game,geographical_entity,creative_work,-1,True,1.0,1.0,0.5,0.5,0.9978411836079778,0.4775724638788506,0.18927675554804357,0.8107232444519564,1,0
1619,astronaut,animation feature film,occupation,creative_work,-1,True,-0.9473684210526316,-1.0,-0.5,-0.5,0.999997318892092,-0.9958060480554798,0.6941669238013926,0.30583307619860745,-1,1
6227,island,nuclear power plant,geographical_entity,geographical_entity,1,False,1.0,1.0,0.9968281247310429,0.9968281247310429,-0.009436375805055575,0.9975851728140803,0.14985032721105807,0.8501496727889419,1,1
2366,bee,space station,species,man-made_object,1,True,-1.0,-1.0,0.5,0.5,0.9999999999879168,1.0,0.11194231061042348,0.8880576893895765,1,1
779,airport,national dance,geographical_entity,creative_work,1,True,1.0,1.0,0.5,0.5,-0.5,0.5,0.356874963485483,0.643125036514517,1,1
1598,architect,world heritage site,occupation,geographical_entity,1,True,1.0,1.0,0.9981620345846074,0.9981620345846074,0.5,-0.5,0.43122925832134296,0.568770741678657,1,1
3371,city,travel agency,geographical_entity,organization,-1,True,0.9473684210526316,1.0,0.9998512540393407,0.9998512540393407,-0.9909322194858154,-0.5,0.6480091912719586,0.3519908087280415,-1,1
7103,mammal,spacecraft,species,man-made_object,-1,True,0.5263157894736842,1.0,0.5,0.5,0.9962484381301342,-4.569527168374332e-06,0.29079639512074207,0.7092036048792579,1,0
4190,desert,formula one circuit,geographical_entity,man-made_object,1,True,-0.8421052631578947,-1.0,0.019126741528385283,0.019126741528385283,-0.9928791599791686,2.6214197479390577e-11,0.6349373796151722,0.36506262038482784,-1,0
9425,researcher,airport,occupation,geographical_entity,1,True,-1.0,-1.0,0.5,0.5,0.9974018812390149,0.9877695299484597,0.11353739733512769,0.8864626026648723,1,1
9008,politician,island,occupation,geographical_entity,1,True,0.8947368421052632,1.0,0.9964422176030545,0.9964422176030545,0.5,-0.5,0.4314575091817874,0.5685424908182126,1,1
9824,satellite,skyscraper,man-made_object,man-made_object,-1,False,-0.8421052631578947,-1.0,0.5,0.5,0.9999980259371015,-0.9919063231182146,0.5680763748501276,0.4319236251498724,-1,1
7535,nuclear power plant,smartphone,geographical_entity,man-made_object,-1,True,0.8947368421052632,1.0,0.9983945049715196,0.9983945049715196,0.5,-0.9997820174700118,0.5772335178621424,0.4227664821378576,-1,1
5879,insect,NBA player,species,occupation,1,True,-0.8947368421052632,-1.0,0.5,0.5,0.9970268527847378,0.9973697036567593,0.11242711373231484,0.8875728862676852,1,1
6329,journalist,animation studio,occupation,organization,1,True,1.0,1.0,0.99914821767599,0.99914821767599,0.9959124455944355,0.9999371298197273,0.08797452399620798,0.912025476003792,1,1
