domain1,domain2,interdomain,signal,class1,class2,GT,GT_ratio_order,weight,prediction,accuracy,precision,abstention
creative_work,creative_work,False,coqex,animation feature film,technological invention,1,1,0.5964912280701754,1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,animation feature film,website,-1,5,-0.08771929824561404,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,board game,animation feature film,1,1,-0.5614035087719298,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,board game,mobile app,-1,2,0.6140350877192983,1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,board game,national dance,1,2,0.9800148398458343,1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,board game,painting,-1,0,-0.8847731616743614,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,board game,patent,-1,1,-0.9989793501133586,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,board game,play,1,0,-0.5789473684210527,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,board game,religious text,1,3,-0.08771929824561404,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,board game,scientific paper,-1,3,0.14035087719298245,1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,board game,song,-1,3,0.5087719298245613,1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,board game,technological invention,1,2,0.5789473684210527,1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,board game,video game,-1,0,0.5263157894736842,1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,board game,website,-1,4,-0.10526315789473685,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,book,animation feature film,1,4,-0.08771929824561404,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,book,board game,1,3,0.5964912280701754,1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,book,mobile app,1,1,0.5789473684210527,1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,book,national dance,1,5,0.5964912280701754,1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,book,painting,1,3,-0.543859649122807,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,book,patent,1,1,-0.6315789473684211,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,book,play,1,3,-0.15789473684210528,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,book,religious text,1,6,-0.10526315789473685,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,book,scientific paper,1,0,0.10526315789473685,1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,book,song,-1,0,0.5614035087719298,1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,book,technological invention,1,5,0.5789473684210527,1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,book,video game,1,2,0.5964912280701754,1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,book,website,-1,1,-0.08771929824561404,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,film,animation feature film,1,1,-0.5087719298245614,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,film,board game,1,0,-0.15789473684210528,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,film,book,-1,2,-0.5614035087719298,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,film,mobile app,-1,1,0.6140350877192983,1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,film,national dance,1,3,-0.03508771929824561,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,film,painting,1,0,-0.543859649122807,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,film,patent,-1,0,-0.9769586072999853,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,film,play,1,1,-0.543859649122807,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,film,religious text,1,4,-0.07017543859649122,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,film,scientific paper,-1,2,-0.5263157894736842,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,film,song,-1,2,-0.10526315789473685,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,film,technological invention,1,2,0.2631578947368421,1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,film,video game,-1,0,-0.14035087719298245,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,film,website,-1,3,-0.10526315789473685,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,mobile app,animation feature film,1,3,-0.6315789473684211,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,mobile app,national dance,1,4,-0.6315789473684211,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,mobile app,patent,1,0,-0.6315789473684211,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,mobile app,play,1,2,-0.6315789473684211,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,mobile app,religious text,1,5,-0.6315789473684211,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,mobile app,scientific paper,-1,1,-0.6491228070175439,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,mobile app,song,-1,1,-0.6315789473684211,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,mobile app,technological invention,1,4,-0.6315789473684211,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,mobile app,website,-1,2,-0.6491228070175439,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,national dance,animation feature film,-1,1,-0.9824537226358839,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,national dance,religious text,1,1,-0.5964912280701754,-1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,national dance,technological invention,-1,0,0.03508771929824561,1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,national dance,website,-1,6,-0.6140350877192983,-1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,painting,animation feature film,1,1,0.5514033721879456,1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,painting,mobile app,-1,1,0.5614035087719298,1.0,0,0.0,0.0
creative_work,creative_work,False,coqex,painting,national dance,1,2,0.9025183213419613,1.0,1,1.0,0.0
creative_work,creative_work,False,coqex,painting,patent,-1,1,-0.9462188791477365,-1.0,1,1.0,0.0
