domain1,domain2,interdomain,class1,class2,GT,GT_ratio_order,prediction,accuracy,precision,abstention
creative_work,creative_work,False,animation feature film,technological invention,1,1,1.0,1,1.0,0.0
creative_work,creative_work,False,animation feature film,website,-1,5,-1.0,1,1.0,0.0
creative_work,creative_work,False,board game,animation feature film,1,1,-1.0,0,0.0,0.0
creative_work,creative_work,False,board game,mobile app,-1,2,1.0,0,0.0,0.0
creative_work,creative_work,False,board game,national dance,1,2,1.0,1,1.0,0.0
creative_work,creative_work,False,board game,painting,-1,0,-1.0,1,1.0,0.0
creative_work,creative_work,False,board game,patent,-1,1,-1.0,1,1.0,0.0
creative_work,creative_work,False,board game,play,1,0,-1.0,0,0.0,0.0
creative_work,creative_work,False,board game,religious text,1,3,-1.0,0,0.0,0.0
creative_work,creative_work,False,board game,scientific paper,-1,3,-1.0,1,1.0,0.0
creative_work,creative_work,False,board game,song,-1,3,-1.0,1,1.0,0.0
creative_work,creative_work,False,board game,technological invention,1,2,1.0,1,1.0,0.0
creative_work,creative_work,False,board game,video game,-1,0,-1.0,1,1.0,0.0
creative_work,creative_work,False,board game,website,-1,4,-1.0,1,1.0,0.0
creative_work,creative_work,False,book,animation feature film,1,4,1.0,1,1.0,0.0
creative_work,creative_work,False,book,board game,1,3,1.0,1,1.0,0.0
creative_work,creative_work,False,book,mobile app,1,1,1.0,1,1.0,0.0
creative_work,creative_work,False,book,national dance,1,5,1.0,1,1.0,0.0
creative_work,creative_work,False,book,painting,1,3,-1.0,0,0.0,0.0
creative_work,creative_work,False,book,patent,1,1,1.0,1,1.0,0.0
creative_work,creative_work,False,book,play,1,3,1.0,1,1.0,0.0
creative_work,creative_work,False,book,religious text,1,6,1.0,1,1.0,0.0
creative_work,creative_work,False,book,scientific paper,1,0,1.0,1,1.0,0.0
creative_work,creative_work,False,book,song,-1,0,1.0,0,0.0,0.0
creative_work,creative_work,False,book,technological invention,1,5,1.0,1,1.0,0.0
creative_work,creative_work,False,book,video game,1,2,1.0,1,1.0,0.0
creative_work,creative_work,False,book,website,-1,1,1.0,0,0.0,0.0
creative_work,creative_work,False,film,animation feature film,1,1,1.0,1,1.0,0.0
creative_work,creative_work,False,film,board game,1,0,1.0,1,1.0,0.0
creative_work,creative_work,False,film,book,-1,2,-1.0,1,1.0,0.0
creative_work,creative_work,False,film,mobile app,-1,1,1.0,0,0.0,0.0
