class1,class2,domain1,domain2,GT,interdomain,weight,wikidata,coqex,gpt,prob_lesser,prob_greater,prediction,accuracy
island,dam,geographical_entity,geographical_entity,-1,False,0.631578947368421,0.631578947368421,-0.631578947368421,-0.631578947368421,0.6912514087827015,0.3087485912172984,-1,1
book,satellite,creative_work,man-made_object,1,True,1.0,1.0,-0.8421052631578947,0.9473684210526316,0.15091942978656503,0.849080570213435,1,1
ancient civilization,fast food restaurant,geographical_entity,organization,-1,True,-0.8421052631578947,-0.8421052631578947,-0.736842105263158,-0.8421052631578947,0.8932459520512824,0.10675404794871757,-1,1
phytoplankton,football club,species,organization,1,True,-1.0,-1.0,0.9473684210526316,1.0,0.1491802580919378,0.8508197419080622,1,1
astronaut,travel agency,occupation,organization,-1,True,0.8947368421052632,0.8947368421052632,-0.6842105263157895,-0.9473684210526316,0.7621317468763252,0.23786825312367477,-1,1
spacecraft,helicopter,man-made_object,man-made_object,-1,False,-0.736842105263158,-0.736842105263158,-0.8947368421052632,-0.9473684210526316,0.9109879781088392,0.0890120218911607,-1,1
observatory,merchant ship,man-made_object,man-made_object,-1,False,0.9473684210526316,0.9473684210526316,-0.5263157894736843,-0.8947368421052632,0.7202054872135066,0.27979451278649337,-1,1
amphibian,coal power plant,species,organization,1,True,-0.736842105263158,-0.736842105263158,0.6842105263157895,0.9473684210526316,0.16107956032261372,0.8389204396773863,1,1
formula one circuit,percussion instrument,man-made_object,man-made_object,-1,False,1.0,1.0,-0.5789473684210527,-1.0,0.7521604745358813,0.24783952546411872,-1,1
snake,dam,species,geographical_entity,-1,True,-1.0,-1.0,-0.7894736842105263,-1.0,0.9243019870422201,0.07569801295777985,-1,1
submarine,wind turbine,man-made_object,man-made_object,-1,False,0.8421052631578947,0.8421052631578947,-0.8947368421052632,-1.0,0.8050521971063369,0.19494780289366306,-1,1
bacteria,lawyer,species,occupation,1,True,-1.0,-1.0,-1.0,-0.5789473684210527,0.8797944888217963,0.12020551117820363,-1,0
hospital,formula one circuit,organization,man-made_object,1,True,1.0,1.0,0.9473684210526316,0.9473684210526316,0.051546084147055526,0.9484539158529445,1,1
nuclear power plant,book,geographical_entity,creative_work,-1,True,-1.0,-1.0,0.5263157894736842,-0.9473684210526316,0.8248559528982512,0.1751440471017488,-1,1
police officer,board game,occupation,creative_work,1,True,1.0,1.0,1.0,0.9473684210526316,0.049868616451815506,0.9501313835481845,1,1
ancient civilization,bank,geographical_entity,organization,-1,True,-1.0,-1.0,-0.9473684210526316,-0.7894736842105263,0.9073111822707932,0.09268881772920681,-1,1
play,skyscraper,creative_work,man-made_object,1,True,-0.8421052631578947,-0.8421052631578947,-0.736842105263158,0.6842105263157895,0.4412003823606224,0.5587996176393776,1,1
tree,actor,species,occupation,-1,True,-1.0,-1.0,0.7368421052631579,0.7368421052631579,0.23243105754043114,0.7675689424595689,1,0
scientific paper,skyscraper,creative_work,man-made_object,1,True,-1.0,-1.0,0.5263157894736842,0.5263157894736842,0.3252769640106038,0.6747230359893962,1,1
board game,merchant ship,creative_work,man-made_object,1,True,-0.631578947368421,-0.631578947368421,-0.736842105263158,-0.8421052631578947,0.8800041933074823,0.1199958066925178,-1,0
politician,world heritage site,occupation,geographical_entity,1,True,1.0,1.0,-0.5263157894736842,-0.5789473684210527,0.6044662150273956,0.3955337849726044,-1,0
animation feature film,submarine,creative_work,man-made_object,1,True,0.9473684210526316,0.9473684210526316,-0.5789473684210527,0.6842105263157895,0.1882082887501414,0.8117917112498586,1,1
dam,board game,geographical_entity,creative_work,-1,True,1.0,1.0,0.9473684210526316,0.631578947368421,0.08136441162513386,0.9186355883748661,1,0
astronaut,animation feature film,occupation,creative_work,-1,True,-0.9473684210526316,-0.9473684210526316,0.9473684210526316,-0.9473684210526316,0.775184735266754,0.22481526473324598,-1,1
island,nuclear power plant,geographical_entity,geographical_entity,1,False,1.0,1.0,0.631578947368421,1.0,0.05815936248840958,0.9418406375115904,1,1
bee,space station,species,man-made_object,1,True,-1.0,-1.0,1.0,1.0,0.144810589580176,0.855189410419824,1,1
airport,national dance,geographical_entity,creative_work,1,True,1.0,1.0,1.0,-0.631578947368421,0.3763238161648562,0.6236761838351438,1,1
architect,world heritage site,occupation,geographical_entity,1,True,1.0,1.0,0.736842105263158,0.6842105263157895,0.08580656402065312,0.9141934359793469,1,1
city,travel agency,geographical_entity,organization,-1,True,0.9473684210526316,0.9473684210526316,-0.736842105263158,-0.736842105263158,0.6986092914838662,0.30139070851613387,-1,1
mammal,spacecraft,species,man-made_object,-1,True,0.5263157894736842,0.5263157894736842,0.8421052631578947,0.8947368421052632,0.07838044749700523,0.9216195525029948,1,0
desert,formula one circuit,geographical_entity,man-made_object,1,True,-0.8421052631578947,-0.8421052631578947,-0.6842105263157895,-1.0,0.9116287111077368,0.08837128889226326,-1,0
researcher,airport,occupation,geographical_entity,1,True,-1.0,-1.0,0.5263157894736843,-0.5789473684210527,0.727067277388084,0.2729327226119161,-1,0
politician,island,occupation,geographical_entity,1,True,0.8947368421052632,0.8947368421052632,-0.7368421052631579,-0.7894736842105263,0.7221298811053741,0.2778701188946259,-1,0
