class1,class2,domain1,domain2,GT,GT_ratio_order,coqex,wikidata,gpt3_few_shot_cardinality,ttest_by_subclass_coqex,ttest_by_subclass_wikidata,ttest_by_subclass_gpt3_few_shot_cardinality,majority_by_subclass_coqex,majority_by_subclass_wikidata,majority_by_subclass_gpt3_few_shot_cardinality,coqex_precision,wikidata_precision,gpt3_few_shot_cardinality_precision,ttest_by_subclass_coqex_precision,ttest_by_subclass_wikidata_precision,ttest_by_subclass_gpt3_few_shot_cardinality_precision,majority_by_subclass_coqex_precision,majority_by_subclass_wikidata_precision,majority_by_subclass_gpt3_few_shot_cardinality_precision
river,island,geographical_entity,geographical_entity,1,1,1,1,1,0,0.9656242369167748,0,-0.5263157894736843,0.7368421052631579,-0.5789473684210527,1,1,1,,1,,0,1,0
river,volcano,geographical_entity,geographical_entity,1,1,1,1,1,0,0.9944977575090317,0.9833898020825577,0.6842105263157895,1.0,1.0,1,1,1,,1,1,1,1,1
river,lake,geographical_entity,geographical_entity,-1,1,1,1,1,0,0,-0.9700142645775599,0.631578947368421,0.8421052631578947,-0.8947368421052632,0,0,0,,,1,0,0,1
river,desert,geographical_entity,geographical_entity,1,3,1,1,1,0,0.9946229842276196,0.9879766239387039,0.8421052631578947,1.0,1.0,1,1,1,,1,1,1,1,1
river,castle,geographical_entity,geographical_entity,-1,0,1,1,1,0,0.9918252365856591,0,0.5789473684210527,0.8421052631578947,0.7894736842105263,0,0,0,,0,,0,0,0
river,dam,geographical_entity,geographical_entity,1,1,1,1,1,0,0,0,-0.736842105263158,0.8947368421052632,0.631578947368421,1,1,1,,,,0,1,1
river,airport,geographical_entity,geographical_entity,1,0,1,1,1,0,0.9903600819788101,0.9691861958519881,0.631578947368421,0.9473684210526315,0.9473684210526315,1,1,1,,1,1,1,1,1
river,city,geographical_entity,geographical_entity,1,0,1,1,1,0,0.9942889786270278,0,0.631578947368421,0.8947368421052632,0.6842105263157895,1,1,1,,1,,1,1,1
river,highway,geographical_entity,geographical_entity,1,2,1,1,1,0,0.9945905737445873,-0.9895324526336502,0.8421052631578947,1.0,-0.8421052631578947,1,1,1,,1,0,1,1,0
river,world heritage site,geographical_entity,geographical_entity,1,2,1,1,1,0,0.9946411412309817,0.9871734809283683,0.631578947368421,1.0,1.0,1,1,1,,1,1,1,1,1
river,nuclear power plant,geographical_entity,geographical_entity,1,2,1,1,1,0,0.9945948686913092,0.9876754566388333,0.5789473684210527,1.0,1.0,1,1,1,,1,1,1,1,1
river,national park,geographical_entity,geographical_entity,1,1,1,1,1,0,0.9944789940147866,0.9868879671560615,-0.5263157894736843,1.0,1.0,1,1,1,,1,1,0,1,1
river,ancient civilization,geographical_entity,geographical_entity,1,3,1,1,1,0,0.9946411412309817,0.9613203555474477,0.8947368421052632,1.0,0.8947368421052632,1,1,1,,1,1,1,1,1
river,zoo,geographical_entity,geographical_entity,1,1,1,1,1,0,0.9944452595935798,0.9835622989018488,0.631578947368421,1.0,1.0,1,1,1,,1,1,1,1,1
island,volcano,geographical_entity,geographical_entity,-1,0,-1,1,1,0.9836339606815669,0.9932735274041412,0.9933907240025137,0.6842105263157895,1.0,0.8947368421052632,1,0,0,0,0,0,0,0,0
island,lake,geographical_entity,geographical_entity,-1,3,-1,-1,-1,0,0,-0.9662253465564103,0.631578947368421,-0.5263157894736843,-0.8421052631578947,1,1,1,,,1,0,1,1
island,desert,geographical_entity,geographical_entity,1,1,1,1,1,0.9847831569361691,0.9937639129049873,0.9952937583464969,0.8947368421052632,1.0,1.0,1,1,1,1,1,1,1,1,1
island,castle,geographical_entity,geographical_entity,-1,2,-1,1,1,0,0.9741619148026383,0.9682372123173423,0.5263157894736842,0.7894736842105263,0.5263157894736842,1,0,0,,0,0,0,0,0
island,dam,geographical_entity,geographical_entity,-1,0,-1,1,1,-0.9900703263855939,0,0,-0.631578947368421,0.631578947368421,-0.631578947368421,1,0,0,1,,,1,0,1
island,airport,geographical_entity,geographical_entity,-1,0,1,1,1,0,0,0.987117309534969,0.5263157894736842,0.9473684210526315,0.8421052631578947,0,0,0,,,0,0,0,0
island,city,geographical_entity,geographical_entity,-1,0,-1,1,0,0,0.9924009810653495,0,0.5789473684210527,0.9473684210526315,-0.5263157894736843,1,0,,,0,,0,0,1
island,highway,geographical_entity,geographical_entity,1,0,-1,1,-1,0,0.9936394504154434,-0.9852147527324212,0.8947368421052632,1.0,-0.6842105263157895,0,1,0,,1,0,1,1,0
island,world heritage site,geographical_entity,geographical_entity,1,0,-1,1,-1,0.9829369184130105,0.993832749638172,0.9949641581285019,0.6842105263157895,1.0,0.9473684210526315,0,1,0,1,1,1,1,1,1
island,nuclear power plant,geographical_entity,geographical_entity,1,1,-1,1,1,0.9811272483898887,0.9936562494620857,0.9951703456281609,0.631578947368421,1.0,1.0,0,1,1,1,1,1,1,1,1
island,national park,geographical_entity,geographical_entity,1,0,-1,1,1,0.9819568009051862,0.9931939398729723,0.9948466185665664,0.5789473684210527,1.0,1.0,0,1,1,1,1,1,1,1,1
island,ancient civilization,geographical_entity,geographical_entity,1,1,-1,1,1,0.9821247594759082,0.993832749638172,0.9834514152464381,0.7894736842105263,1.0,0.8947368421052632,0,1,1,1,1,1,1,1,1
island,zoo,geographical_entity,geographical_entity,-1,0,-1,1,1,0.9645882334308482,0.9930608754173322,0.9934631548491591,0.631578947368421,1.0,1.0,1,0,0,0,0,0,0,0,0
volcano,lake,geographical_entity,geographical_entity,-1,3,1,-1,-1,0,0,-0.9848768584416708,0.5789473684210527,-0.9473684210526316,-1.0,0,1,1,,,1,0,1,1
volcano,desert,geographical_entity,geographical_entity,1,2,1,-1,1,0.9983846309070925,0.9816991041060529,0.9711477287049433,0.8421052631578947,0.7368421052631579,0.9473684210526315,1,0,1,1,1,1,1,1,1
volcano,castle,geographical_entity,geographical_entity,-1,1,1,-1,-1,0,-0.9725467442804264,-0.9999999654945814,-0.5263157894736843,0.5263157894736842,-1.0,0,1,1,,1,1,1,0,1
volcano,dam,geographical_entity,geographical_entity,1,0,-1,-1,-1,-0.9956372435903537,0,-0.9999758497996404,-0.8421052631578947,-0.8421052631578947,-1.0,0,0,0,0,,0,0,0,0
volcano,airport,geographical_entity,geographical_entity,-1,0,1,-1,-1,0,0,0,-0.5263157894736843,-0.8947368421052632,-0.736842105263158,0,1,1,,,,1,1,1
volcano,city,geographical_entity,geographical_entity,-1,0,-1,-1,-1,0,-0.9757041338312668,-0.9548308018225284,-0.736842105263158,-0.7894736842105263,-0.8947368421052632,1,1,1,,1,1,1,1,1
volcano,highway,geographical_entity,geographical_entity,1,1,1,1,-1,0,0,-0.9988813956680871,0.7894736842105263,0.6842105263157895,-1.0,1,1,0,,,0,1,1,0
volcano,world heritage site,geographical_entity,geographical_entity,1,1,-1,1,-1,0,0.9910223147752718,0,0.5263157894736842,0.9473684210526315,0.6842105263157895,0,1,0,,1,,1,1,1
volcano,nuclear power plant,geographical_entity,geographical_entity,1,1,1,1,1,-0.9902138653141827,0,0.9607106543894973,-0.7894736842105263,0.5789473684210527,0.8421052631578947,1,1,1,0,,1,0,1,1
volcano,national park,geographical_entity,geographical_entity,1,0,-1,-1,1,0,0,0,-0.6842105263157895,0.5263157894736842,0.631578947368421,0,0,1,,,,0,1,1
volcano,ancient civilization,geographical_entity,geographical_entity,1,2,1,1,-1,0,0.9910223147752718,0,0.8947368421052632,0.9473684210526315,-0.5789473684210527,1,1,0,,1,,1,1,0
volcano,zoo,geographical_entity,geographical_entity,1,0,-1,-1,-1,-0.9548710807072119,0,0,-0.736842105263158,-0.6842105263157895,-0.5789473684210527,0,0,0,0,,,0,0,0
lake,desert,geographical_entity,geographical_entity,1,5,1,1,1,0,0,0.9855409237848477,0.5789473684210527,0.9473684210526315,1.0,1,1,1,,,1,1,1,1
lake,castle,geographical_entity,geographical_entity,1,1,1,1,1,0,0,0.98111512849685,-0.631578947368421,0.7368421052631579,0.8947368421052632,1,1,1,,,1,0,1,1
lake,dam,geographical_entity,geographical_entity,1,3,-1,1,1,0,0,0.9795548479050926,-0.736842105263158,-0.5789473684210527,0.7894736842105263,0,1,1,,,1,0,0,1
lake,airport,geographical_entity,geographical_entity,1,2,1,1,1,0,0,0.9836351116401331,-0.5789473684210527,0.7368421052631579,1.0,1,1,1,,,1,0,1,1
lake,city,geographical_entity,geographical_entity,1,2,-1,1,1,0,0,0.9723551932246334,-0.5789473684210527,0.6842105263157895,0.7894736842105263,0,1,1,,,1,0,1,1
