class1,class2,domain1,domain2,GT,GT_ratio_order,coqex,wikidata,gpt3_few_shot_cardinality,ttest_by_subclass_coqex,ttest_by_subclass_wikidata,ttest_by_subclass_gpt3_few_shot_cardinality,majority_by_subclass_coqex,majority_by_subclass_wikidata,majority_by_subclass_gpt3_few_shot_cardinality,coqex_precision,wikidata_precision,gpt3_few_shot_cardinality_precision,ttest_by_subclass_coqex_precision,ttest_by_subclass_wikidata_precision,ttest_by_subclass_gpt3_few_shot_cardinality_precision,majority_by_subclass_coqex_precision,majority_by_subclass_wikidata_precision,majority_by_subclass_gpt3_few_shot_cardinality_precision
satellite,space station,man-made_object,man-made_object,1,3,1,1,1,0.9999976094819173,0.9758122397091924,0.9983942740644887,0.8947368421052632,1.0,1.0,1,1,1,1,1,1,1,1,1
satellite,submarine,man-made_object,man-made_object,1,0,1,1,1,0.9999971824802489,0,0,1.0,0.7894736842105263,0.7894736842105263,1,1,1,1,,,1,1,1
satellite,oil tanker,man-made_object,man-made_object,-1,0,1,1,1,0.9999855329296115,0.9757066593712325,-0.9999999402074962,0.8947368421052632,1.0,-0.8421052631578947,0,0,0,0,0,1,0,0,1
satellite,observatory,man-made_object,man-made_object,1,0,1,1,1,0.9999960934315807,0,0,0.9473684210526315,0.7894736842105263,0.5263157894736842,1,1,1,1,,,1,1,1
satellite,spacecraft,man-made_object,man-made_object,-1,0,1,1,-1,0.9954352866636625,0.9738016500816754,-0.994953187940339,0.7368421052631579,1.0,0.5789473684210527,0,0,1,0,0,1,0,0,0
satellite,helicopter,man-made_object,man-made_object,-1,1,-1,1,-1,0,0.9746022853798988,-0.999999999999992,-0.5263157894736843,1.0,-1.0,1,0,1,,0,1,1,0,1
satellite,wind turbine,man-made_object,man-made_object,-1,1,-1,1,-1,0,0.9717981289817723,-0.9685094765010515,0.631578947368421,1.0,-0.9473684210526316,1,0,1,,0,1,0,0,1
satellite,formula one circuit,man-made_object,man-made_object,1,1,1,1,1,0.9999978305034245,0,0.989006906513241,0.9473684210526315,0.6842105263157895,1.0,1,1,1,1,,1,1,1,1
satellite,merchant ship,man-made_object,man-made_object,-1,1,-1,1,-1,0,0.9743646872244325,-0.9999981431217577,0.7368421052631579,0.9473684210526315,-0.8947368421052632,1,0,1,,0,1,0,0,1
satellite,percussion instrument,man-made_object,man-made_object,1,0,1,1,1,0.9999964636650975,0.9761345598814124,-0.9978407022318817,1.0,1.0,-0.8947368421052632,1,1,1,1,1,0,1,1,0
