class1,class2,domain1,domain2,GT,GT_ratio_order,coqex,wikidata,gpt3_few_shot_cardinality,ttest_by_subclass_coqex,ttest_by_subclass_wikidata,ttest_by_subclass_gpt3_few_shot_cardinality,majority_by_subclass_coqex,majority_by_subclass_wikidata,majority_by_subclass_gpt3_few_shot_cardinality,coqex_precision,wikidata_precision,gpt3_few_shot_cardinality_precision,ttest_by_subclass_coqex_precision,ttest_by_subclass_wikidata_precision,ttest_by_subclass_gpt3_few_shot_cardinality_precision,majority_by_subclass_coqex_precision,majority_by_subclass_wikidata_precision,majority_by_subclass_gpt3_few_shot_cardinality_precision
politician,actor,occupation,occupation,1,0,1,1,-1,0,0,0,-0.736842105263158,0.7368421052631579,-0.8421052631578947,1,1,0,,,,0,1,0
politician,physicist,occupation,occupation,1,0,1,1,-1,0,0.9974844437166493,0,-0.736842105263158,1.0,-0.7894736842105263,1,1,0,,1,,0,1,0
politician,journalist,occupation,occupation,1,1,1,1,-1,0,0.9920366948885859,0,-0.736842105263158,1.0,-0.8421052631578947,1,1,0,,1,,0,1,0
politician,astronaut,occupation,occupation,1,4,1,1,-1,0,0.9980828747958984,0.959233775442,-0.736842105263158,1.0,-0.6842105263157895,1,1,0,,1,1,0,1,0
politician,researcher,occupation,occupation,-1,0,-1,-1,-1,-0.9898642097301255,0.9980828747958984,-0.9753780455984598,-0.5789473684210527,1.0,-0.7894736842105263,1,1,1,1,0,1,1,0,1
politician,fashion designer,occupation,occupation,1,1,1,1,-1,0,0.9980362435678458,0,0.5789473684210527,1.0,-0.8421052631578947,1,1,0,,1,,1,1,0
politician,lawyer,occupation,occupation,1,0,-1,1,-1,-0.9996726197304774,0.9944398017758154,-0.994346588767455,-0.9473684210526316,1.0,-0.8947368421052632,0,1,0,0,1,0,0,1,0
politician,school teacher,occupation,occupation,-1,1,-1,1,-1,-0.9932458013593347,0.9980571428682646,-1.0,-0.631578947368421,1.0,-1.0,1,0,1,1,0,1,1,0,1
politician,architect,occupation,occupation,1,0,1,1,-1,0,0.9972015147698051,0,-0.6842105263157895,1.0,-0.8421052631578947,1,1,0,,1,,0,1,0
politician,police officer,occupation,occupation,-1,0,1,1,-1,-0.9998262455516058,0.9979901045930237,0,-0.8947368421052632,1.0,-1.0,0,0,1,1,0,,1,0,1
politician,NBA player,occupation,occupation,1,3,1,1,-1,0,0.9979306408966092,0,-0.5789473684210527,1.0,-0.6842105263157895,1,1,0,,1,,0,1,0
politician,airline pilot,occupation,occupation,1,1,1,1,-1,-0.9998921067971368,0.9978886743746305,0,-0.8421052631578947,1.0,-0.8421052631578947,1,1,0,0,1,,0,1,0
politician,nurse,occupation,occupation,-1,0,-1,1,-1,-0.9979999449976477,0.9980251970023661,-0.9999873626419737,-0.7894736842105263,1.0,-1.0,1,0,1,1,0,1,1,0,1
politician,dentist,occupation,occupation,1,0,1,1,-1,0,0.9980571068133678,-0.9994397426244186,-0.9473684210526316,1.0,-0.9473684210526316,1,1,0,,1,0,0,1,0
actor,physicist,occupation,occupation,1,0,1,1,-1,0,0.9982540273811711,0,0.631578947368421,1.0,0.5789473684210527,1,1,0,,1,,1,1,1
actor,journalist,occupation,occupation,1,0,-1,1,-1,0,0.9753569654998377,0,0.5263157894736842,1.0,-0.5263157894736843,0,1,0,,1,,1,1,0
actor,astronaut,occupation,occupation,1,3,1,1,1,0,0.9990546181679885,0,0.6842105263157895,1.0,0.8421052631578947,1,1,1,,1,,1,1,1
actor,researcher,occupation,occupation,-1,0,-1,-1,-1,-0.9748947094891438,0.9990546181679885,-0.9736652785881195,0.5263157894736842,1.0,0.5789473684210527,1,1,1,1,0,1,0,0,0
actor,fashion designer,occupation,occupation,1,1,1,1,1,0,0.9990024131209483,0,0.5263157894736842,1.0,-0.736842105263158,1,1,1,,1,,1,1,0
actor,lawyer,occupation,occupation,1,0,-1,1,-1,-0.99912428140918,0.9872006133378238,-0.9937008454444795,-0.9473684210526316,1.0,-0.736842105263158,0,1,0,0,1,0,0,1,0
actor,school teacher,occupation,occupation,-1,1,-1,1,-1,-0.9914444118170397,0.9990259399548769,-1.0,-0.5263157894736843,1.0,-1.0,1,0,1,1,0,1,1,0,1
actor,architect,occupation,occupation,1,0,-1,1,0,0,0.9977672592137391,0,-0.5789473684210527,1.0,-0.5789473684210527,0,1,,,1,,0,1,0
actor,police officer,occupation,occupation,-1,0,1,1,-1,-0.9988842370756736,0.9989491105763564,0,-0.8421052631578947,1.0,-1.0,0,0,1,1,0,,1,0,1
actor,NBA player,occupation,occupation,1,2,1,1,0,0,0.9988729654658776,0,0.7368421052631579,1.0,0.7894736842105263,1,1,,,1,,1,1,1
actor,airline pilot,occupation,occupation,1,1,-1,1,-1,-0.9883387534910271,0.9988258402000522,0,-0.8421052631578947,1.0,-0.6842105263157895,0,1,0,0,1,,0,1,0
actor,nurse,occupation,occupation,-1,0,-1,1,-1,-0.9964931038241754,0.9989897373605732,-0.9999864822666569,-0.736842105263158,1.0,-1.0,1,0,1,1,0,1,1,0,1
actor,dentist,occupation,occupation,1,0,-1,1,-1,0,0.9990259826735148,-0.9993900233274167,-0.7894736842105263,1.0,-0.9473684210526316,0,1,0,,1,0,0,1,0
physicist,journalist,occupation,occupation,1,0,-1,-1,1,-0.9675726827784527,-0.9920795517538927,0,-0.5263157894736843,-0.9473684210526316,-0.736842105263158,0,0,1,0,0,,0,0,0
physicist,astronaut,occupation,occupation,1,3,1,1,1,0.999614491158774,0.9963451697597674,0,0.631578947368421,1.0,-0.5789473684210527,1,1,1,1,1,,1,1,0
physicist,researcher,occupation,occupation,-1,1,-1,-1,-1,-0.9942133015724804,0.9963451697597674,-0.9739967098320377,-0.5789473684210527,1.0,-0.8947368421052632,1,1,1,1,0,1,1,0,1
physicist,fashion designer,occupation,occupation,1,0,1,1,1,0,0.9933668523550798,0,0.5263157894736842,0.8947368421052632,-0.631578947368421,1,1,1,,1,,1,1,0
physicist,lawyer,occupation,occupation,-1,0,-1,-1,-1,-0.9998023438474252,0,-0.9938289258443924,-1.0,-0.8421052631578947,-0.9473684210526316,1,1,1,1,,1,1,1,1
physicist,school teacher,occupation,occupation,-1,2,-1,1,-1,-0.9942000469535582,0.9947993897051675,-1.0,-0.736842105263158,0.9473684210526315,-1.0,1,0,1,1,0,1,1,0,1
physicist,architect,occupation,occupation,-1,0,-1,-1,1,0,0,0,-0.736842105263158,-0.7894736842105263,-0.9473684210526316,1,1,0,,,,1,1,1
