class1,class2,domain1,domain2,GT,GT_ratio_order,coqex,wikidata,gpt3_few_shot_cardinality,ttest_by_subclass_coqex,ttest_by_subclass_wikidata,ttest_by_subclass_gpt3_few_shot_cardinality,majority_by_subclass_coqex,majority_by_subclass_wikidata,majority_by_subclass_gpt3_few_shot_cardinality,coqex_precision,wikidata_precision,gpt3_few_shot_cardinality_precision,ttest_by_subclass_coqex_precision,ttest_by_subclass_wikidata_precision,ttest_by_subclass_gpt3_few_shot_cardinality_precision,majority_by_subclass_coqex_precision,majority_by_subclass_wikidata_precision,majority_by_subclass_gpt3_few_shot_cardinality_precision
university,hospital,organization,organization,-1,0,1,-1,-1,-0.9596660489906808,-0.9905552758475729,-0.9990448278500595,-0.9473684210526316,-0.8947368421052632,-0.8947368421052632,0,1,1,1,1,1,1,1,1
university,publisher,organization,organization,1,0,-1,-1,1,0,0,0,-0.6842105263157895,0.6842105263157895,-0.631578947368421,0,0,1,,,,0,1,0
university,football club,organization,organization,1,0,1,-1,1,0,-0.9566230286965166,0,0.7368421052631579,-0.6842105263157895,-0.6842105263157895,1,0,1,,0,,1,0,0
university,bank,organization,organization,-1,0,-1,1,-1,0,0.9944229732393023,0,-0.5789473684210527,0.8947368421052632,-0.7894736842105263,1,0,1,,0,,1,0,1
university,animation studio,organization,organization,1,1,1,1,1,0,0.9975258978143547,0.9869335234290948,0.6842105263157895,1.0,0.9473684210526315,1,1,1,,1,1,1,1,1
university,airline,organization,organization,1,0,1,1,-1,0,0.9773615847669276,0.9643105974132623,1.0,0.6842105263157895,0.7368421052631579,1,1,0,,1,1,1,1,1
university,coal power plant,organization,organization,1,1,-1,1,1,0,0.9910563750786184,0,-0.6842105263157895,0.8421052631578947,0.7894736842105263,0,1,1,,1,,0,1,1
university,tea company,organization,organization,1,1,-1,1,1,0,0.9982737121422001,0.972363849750017,0.6842105263157895,1.0,0.5263157894736842,0,1,1,,1,1,1,1,1
university,conglomerate,organization,organization,1,0,1,1,-1,0.9525935888105641,0.9980809380734296,0,1.0,1.0,-0.6842105263157895,1,1,0,1,1,,1,1,0
university,public library,organization,organization,-1,0,1,-1,-1,-0.9845593378108155,-0.9611477619163685,-0.9637342976552137,-0.6842105263157895,0.5789473684210527,-0.9473684210526316,0,1,1,1,1,1,1,0,1
university,fast food restaurant,organization,organization,-1,1,-1,,-1,-0.9968055441087765,0.9982055398440314,-0.976935849972559,-0.6842105263157895,1.0,-0.8947368421052632,1,,1,1,0,1,1,0,1
university,cryptocurrency exchange,organization,organization,1,1,-1,1,1,0,0.9982543058947705,0.990820908812856,0.7368421052631579,1.0,1.0,0,1,1,,1,1,1,1,1
university,cooperative,organization,organization,-1,1,-1,1,-1,-0.9727778198977997,0.9980228910642589,-0.9987329322681997,-0.8421052631578947,1.0,-1.0,1,0,1,1,0,1,1,0,1
