class1,class2,domain1,domain2,GT,GT_ratio_order,coqex,wikidata,gpt3_few_shot_cardinality,ttest_by_subclass_coqex,ttest_by_subclass_wikidata,ttest_by_subclass_gpt3_few_shot_cardinality,majority_by_subclass_coqex,majority_by_subclass_wikidata,majority_by_subclass_gpt3_few_shot_cardinality,coqex_precision,wikidata_precision,gpt3_few_shot_cardinality_precision,ttest_by_subclass_coqex_precision,ttest_by_subclass_wikidata_precision,ttest_by_subclass_gpt3_few_shot_cardinality_precision,majority_by_subclass_coqex_precision,majority_by_subclass_wikidata_precision,majority_by_subclass_gpt3_few_shot_cardinality_precision
fungus,bird,species,species,1,2,1,1,-1,0.9994902858079817,0,-0.9965189879236827,0.6842105263157895,-1.0,-1.0,1,1,0,1,,0,1,0,0
fungus,snake,species,species,1,2,1,1,0,0.999537318004243,0,0.9999999401042381,0.7894736842105263,-1.0,0.7894736842105263,1,1,,1,,1,1,0,1
fungus,insect,species,species,-1,0,-1,-1,-1,-0.9912521038046233,0,-0.9946551540142352,-0.736842105263158,-1.0,-1.0,1,1,1,1,,1,1,1,1
fungus,fish,species,species,1,1,1,1,-1,0.9971181861871027,0,-0.9864959864983799,0.8421052631578947,-0.9473684210526316,-1.0,1,1,0,1,,0,1,0,0
fungus,mammal,species,species,1,2,1,1,0,0.9993366833358243,0,0,0.7894736842105263,-1.0,-0.736842105263158,1,1,,1,,,1,0,0
fungus,spider,species,species,1,1,1,1,-1,0,-0.9877816052637659,-0.9598793168729758,0.7368421052631579,-1.0,-1.0,1,1,0,,0,0,1,0,0
fungus,bacteria,species,species,-1,3,1,1,-1,0.9995971933583088,0,0,0.7368421052631579,-0.8947368421052632,-1.0,0,0,1,0,,,0,1,1
fungus,plant,species,species,1,0,-1,1,-1,-0.9973527014483345,0,0,-0.8421052631578947,-0.9473684210526316,-1.0,0,1,0,0,,,0,0,0
fungus,butterfly,species,species,1,2,1,1,0,0,0,-0.9586195795717087,0.7894736842105263,-1.0,-1.0,1,1,,,,0,1,0,0
fungus,amphibian,species,species,1,2,1,1,0,0.9993278409584365,0,0,0.7894736842105263,-1.0,-0.5263157894736843,1,1,,1,,,1,0,0
fungus,grass,species,species,1,2,1,1,-1,0.9976541512064693,0,0.9654582889433648,0.5789473684210527,-0.9473684210526316,-0.6842105263157895,1,1,0,1,,1,1,0,0
fungus,tree,species,species,1,1,1,1,-1,0,0,0,-0.5263157894736843,-0.9473684210526316,-0.8421052631578947,1,1,0,,,,0,0,0
fungus,phytoplankton,species,species,1,2,1,1,-1,0.9991767593051336,0,-0.9927817335902572,0.5789473684210527,-0.8947368421052632,-1.0,1,1,0,1,,0,1,0,0
fungus,bee,species,species,1,2,1,1,-1,0.9916843257499875,0,-1.0,0.5263157894736842,-0.8947368421052632,-1.0,1,1,0,1,,0,1,0,0
bird,snake,species,species,1,0,-1,1,1,0,0,0.9996890131249322,0.6842105263157895,-0.5263157894736843,0.9473684210526315,0,1,1,,,1,1,0,1
bird,insect,species,species,-1,2,-1,-1,-1,-0.993982974731972,0,-0.9944427463782873,-0.7894736842105263,0.5263157894736842,-0.7894736842105263,1,1,1,1,,1,1,0,1
bird,fish,species,species,-1,0,-1,1,0,-0.991079339452612,0,0,-0.631578947368421,0.5789473684210527,-0.7894736842105263,1,0,,1,,,1,0,1
bird,mammal,species,species,1,0,-1,1,1,0,0,0.9972767051637412,0.631578947368421,-0.631578947368421,0.5789473684210527,0,1,1,,,1,1,0,1
bird,spider,species,species,-1,0,-1,-1,-1,0,0,0,-0.631578947368421,-0.736842105263158,-0.736842105263158,1,1,1,,,,1,1,1
bird,bacteria,species,species,-1,5,1,-1,0,0.9666212299927324,0,0,0.8421052631578947,0.5789473684210527,-0.8421052631578947,0,1,,0,,,0,0,1
bird,plant,species,species,-1,1,-1,-1,0,-0.9998224270370184,0,0,-0.9473684210526316,0.5263157894736842,-0.8947368421052632,1,1,,1,,,1,0,1
bird,butterfly,species,species,-1,0,-1,-1,1,0,0,0.9950415171522939,0.5789473684210527,0.5263157894736842,-0.6842105263157895,1,1,0,,,0,0,0,1
bird,amphibian,species,species,1,0,-1,1,1,0,0,0.9974117093678704,0.5789473684210527,-0.736842105263158,0.631578947368421,0,1,1,,,1,1,0,1
bird,grass,species,species,1,0,-1,-1,-1,-0.999999999997044,0,0.9983403101611572,-1.0,-0.5789473684210527,0.631578947368421,0,0,0,0,,1,0,0,1
bird,tree,species,species,-1,0,-1,1,0,0,0,0,-0.9473684210526316,0.5789473684210527,-0.6842105263157895,1,0,,,,,1,0,1
bird,phytoplankton,species,species,1,0,-1,1,0,-0.9993865138055843,0,0,-0.7894736842105263,0.5789473684210527,-0.8947368421052632,0,1,,0,,,0,1,0
bird,bee,species,species,1,0,-1,1,-1,-0.9999999999928965,0,-1.0,-1.0,0.5789473684210527,-1.0,0,1,0,0,,0,0,1,0
snake,insect,species,species,-1,3,-1,-1,-1,-0.9940073295682575,0,-0.9947290436922899,-1.0,-0.5789473684210527,-0.9473684210526316,1,1,1,1,,1,1,1,1
snake,fish,species,species,-1,0,-1,1,-1,-0.993874089720883,0,-0.9991754268510603,-0.736842105263158,0.5263157894736842,-0.9473684210526316,1,0,1,1,,1,1,0,1
snake,mammal,species,species,-1,0,-1,-1,0,-0.9909955268433358,0,-0.9999977486209329,-0.8947368421052632,-0.7894736842105263,-0.9473684210526316,1,1,,1,,1,1,1,1
snake,spider,species,species,-1,1,-1,-1,-1,0,0,-0.969330344958492,-0.631578947368421,-0.8947368421052632,-1.0,1,1,1,,,1,1,1,1
snake,bacteria,species,species,-1,6,1,-1,-1,0.9797307387021152,0,0,-0.5263157894736843,0.5789473684210527,-1.0,0,1,1,0,,,1,0,1
snake,plant,species,species,-1,2,-1,-1,-1,-0.99982725904482,0,0,-0.8947368421052632,-0.5263157894736843,-1.0,1,1,1,1,,,1,1,1
snake,butterfly,species,species,-1,0,-1,-1,0,0,0,-0.9999999905511405,-0.736842105263158,-0.5263157894736843,-0.9473684210526316,1,1,,,,1,1,1,1
snake,amphibian,species,species,-1,0,-1,-1,0,-0.9936320253659198,0,-0.9999995290900872,-0.8421052631578947,-0.8947368421052632,-0.8947368421052632,1,1,,1,,1,1,1,1
snake,grass,species,species,-1,0,-1,-1,-1,-0.9999999999999999,0,-0.9994730201612382,-1.0,0.5263157894736842,-0.9473684210526316,1,1,1,1,,1,1,0,1
snake,tree,species,species,-1,1,-1,1,-1,0,0,0,-1.0,-0.5263157894736843,-0.9473684210526316,1,0,1,,,,1,1,1
snake,phytoplankton,species,species,-1,0,-1,1,-1,-0.9999999527792484,0,-0.9994197471260349,-0.9473684210526316,0.5789473684210527,-1.0,1,0,1,1,,1,1,0,1
snake,bee,species,species,-1,0,-1,1,-1,-0.9999999999772919,0,-1.0,-1.0,0.5789473684210527,-1.0,1,0,1,1,,1,1,0,1
insect,fish,species,species,1,2,1,1,1,0.9935522630474066,0,0.994514423771597,0.8421052631578947,-0.6842105263157895,-0.6842105263157895,1,1,1,1,,1,1,0,0
insect,mammal,species,species,1,3,1,1,1,0.9939148809236926,0,0.9946631247658679,0.7894736842105263,-0.8421052631578947,0.5789473684210527,1,1,1,1,,1,1,0,1
insect,spider,species,species,1,2,1,1,1,0.991681370367135,0,0.9935718133543103,0.8421052631578947,-0.8947368421052632,-0.6842105263157895,1,1,1,1,,1,1,0,0
insect,bacteria,species,species,-1,2,1,1,1,0.9940426586243754,0,0,1.0,-0.6842105263157895,-0.6842105263157895,0,0,0,0,,,0,1,1
insect,plant,species,species,1,1,1,1,1,0.9753054342800407,0,0,0.6842105263157895,-0.7894736842105263,-0.7894736842105263,1,1,1,1,,,1,0,0
insect,butterfly,species,species,1,2,1,1,1,0.9904082224699563,0,0.9946435815617054,0.7894736842105263,-0.8421052631578947,-0.6842105263157895,1,1,1,1,,1,1,0,0
insect,amphibian,species,species,1,3,1,1,1,0.9939113832148077,0,0.9946642818475866,0.8421052631578947,-0.8947368421052632,0.6842105263157895,1,1,1,1,,1,1,0,1
insect,grass,species,species,1,2,1,1,1,0.9935749644813157,0,0.99467887917575,0.6842105263157895,-0.736842105263158,0.631578947368421,1,1,1,1,,1,1,0,1
insect,tree,species,species,1,2,1,1,1,0,0,0.9945449036945598,0.631578947368421,-0.7894736842105263,-0.5789473684210527,1,1,1,,,1,1,0,0
insect,phytoplankton,species,species,1,3,1,1,1,0.9938575481483911,0,0.9944766943455531,0.7368421052631579,-0.6842105263157895,-0.6842105263157895,1,1,1,1,,1,1,0,0
